wavelength_nm,value
414.13,0.016
417.32,0.0138
420.52,0.0132
423.72,0.0115
426.91,0.0173
430.11,0.0177
433.31,0.0114
436.5,0.0142
439.7,0.0122
442.9,0.0143
446.09,0.014
449.29,0.0145
452.49,0.0157
455.68,0.0142
458.88,0.0146
462.08,0.0151
465.27,0.0139
468.47,0.0154
471.67,0.0139
474.86,0.0136
478.06,0.0147
481.26,0.0154
484.45,0.0161
487.65,0.0156
490.85,0.0153
494.04,0.0141
497.24,0.016
500.43,0.0185
503.63,0.0149
506.83,0.0179
510.03,0.0169
513.22,0.0183
516.42,0.019
519.61,0.0179
522.81,0.0176
526.01,0.02
529.2,0.0182
532.4,0.0199
535.6,0.0214
538.79,0.0217
541.99,0.0219
545.19,0.0219
548.38,0.0227
551.58,0.023
554.78,0.0229
557.97,0.0244
561.17,0.0228
564.37,0.023
567.56,0.0233
570.76,0.024
573.96,0.0255
577.15,0.0222
580.35,0.0239
583.55,0.0235
586.74,0.0242
589.94,0.0237
593.14,0.0243
596.33,0.022
599.53,0.0216
602.73,0.0234
605.92,0.0219
609.12,0.0211
612.32,0.0203
615.51,0.0212
618.71,0.0196
621.91,0.02
625.1,0.0185
628.3,0.0202
631.5,0.0183
634.69,0.0202
637.89,0.0194
641.09,0.0195
644.28,0.02
647.48,0.0202
650.67,0.0192
653.87,0.0188
657.07,0.0179
660.27,0.0161
663.46,0.0166
666.66,0.0168
669.85,0.0151
673.05,0.0168
676.25,0.0158
679.45,0.017
682.64,0.0176
685.84,0.02
689.03,0.0198
692.23,0.0196
695.43,0.0194
698.62,0.0192
701.82,0.019
705.02,0.0189
708.21,0.0187
711.41,0.0185
714.61,0.0183
717.8,0.0181
721.0,0.0179
724.2,0.0177
727.39,0.0175
730.59,0.0173
733.79,0.0171
736.98,0.0169
740.18,0.0167
743.38,0.0154
746.57,0.0162
749.77,0.0162
752.97,0.0162
756.16,0.0162
759.36,0.0162
762.56,0.0162
765.75,0.0162
768.95,0.0162
772.15,0.0162
775.34,0.0172
778.54,0.0174
781.74,0.0181
784.93,0.0178
788.13,0.0178
791.33,0.0176
794.52,0.0174
797.72,0.0172
800.92,0.0169
804.11,0.0167
807.31,0.0165
810.51,0.0163
813.7,0.0161
816.9,0.0158
820.1,0.0156
823.29,0.0154
826.49,0.0152
829.68,0.0149
832.88,0.0147
836.08,0.0145
839.28,0.0143
842.47,0.0141
845.67,0.0163
