wavelength_nm,value
414.13,0.0282
417.32,0.0241
420.52,0.0271
423.72,0.0262
426.91,0.0299
430.11,0.0298
433.31,0.0257
436.5,0.0293
439.7,0.0308
442.9,0.0324
446.09,0.0307
449.29,0.032
452.49,0.0314
455.68,0.0331
458.88,0.0326
462.08,0.032
465.27,0.0334
468.47,0.0342
471.67,0.0359
474.86,0.0342
478.06,0.0353
481.26,0.0382
484.45,0.0379
487.65,0.035
490.85,0.0361
494.04,0.0356
497.24,0.0364
500.43,0.0397
503.63,0.0384
506.83,0.0408
510.03,0.0449
513.22,0.0486
516.42,0.0524
519.61,0.0539
522.81,0.0565
526.01,0.0632
529.2,0.0658
532.4,0.0702
535.6,0.0733
538.79,0.0781
541.99,0.0785
545.19,0.0786
548.38,0.0802
551.58,0.0844
554.78,0.086
557.97,0.0872
561.17,0.086
564.37,0.0798
567.56,0.0814
570.76,0.0793
573.96,0.0779
577.15,0.0723
580.35,0.0697
583.55,0.0709
586.74,0.072
589.94,0.0695
593.14,0.0664
596.33,0.0673
599.53,0.0672
602.73,0.0694
605.92,0.0689
609.12,0.0683
612.32,0.0656
615.51,0.0629
618.71,0.0635
621.91,0.0644
625.1,0.0639
628.3,0.064
631.5,0.0637
634.69,0.066
637.89,0.0642
641.09,0.0621
644.28,0.0621
647.48,0.0627
650.67,0.058
653.87,0.058
657.07,0.0577
660.27,0.052
663.46,0.0552
666.66,0.0547
669.85,0.0535
673.05,0.0538
676.25,0.0534
679.45,0.052
682.64,0.0538
685.84,0.0617
689.03,0.0767
692.23,0.0918
695.43,0.1068
698.62,0.1219
701.82,0.1369
705.02,0.1519
708.21,0.167
711.41,0.182
714.61,0.1971
717.8,0.2121
721.0,0.2272
724.2,0.2422
727.39,0.2572
730.59,0.2723
733.79,0.2873
736.98,0.3023
740.18,0.3174
743.38,0.3342
746.57,0.3559
749.77,0.367
752.97,0.3703
756.16,0.3736
759.36,0.3769
762.56,0.3801
765.75,0.3834
768.95,0.3867
772.15,0.39
775.34,0.3996
778.54,0.4058
781.74,0.4045
784.93,0.4079
788.13,0.4112
791.33,0.413
794.52,0.4149
797.72,0.4168
800.92,0.4186
804.11,0.4205
807.31,0.4223
810.51,0.4242
813.7,0.4261
816.9,0.4279
820.1,0.4298
823.29,0.4316
826.49,0.4335
829.68,0.4354
832.88,0.4372
836.08,0.4391
839.28,0.4409
842.47,0.4428
845.67,0.4473
848.86,0.4536
852.06,0.447
855.26,0.4498
858.46,0.4505
861.65,0.4418
864.85,0.4773
868.04,0.4528
871.24,0.446
874.44,0.4496
877.63,0.4584
880.83,0.4594
884.03,0.4588
887.22,0.4691
890.42,0.4715
893.62,0.4865
896.81,0.4871
900.01,0.4864
903.21,0.4859
906.4,0.4849
909.6,0.484
912.8,0.4833
915.99,0.4822
919.19,0.4809
922.39,0.4793
925.58,0.4779
928.78,0.4766
931.98,0.4752
935.17,0.4725
938.37,0.47
941.57,0.4677
944.76,0.466
947.96,0.4639
951.16,0.4616
954.35,0.4594
957.55,0.4576
960.75,0.4561
963.94,0.4544
967.14,0.4527
970.1,0.4511
975.54,0.4497
980.98,0.4477
986.42,0.4463
991.86,0.4448
997.3,0.4432
1002.74,0.4461
1008.18,0.4453
1013.62,0.4583
1019.06,0.4725
1024.5,0.4726
1029.95,0.4712
1035.39,0.4637
1040.83,0.4641
1046.27,0.4738
1051.71,0.482
1057.15,0.4954
1062.59,0.4994
1068.03,0.4983
1073.47,0.4866
1078.91,0.4859
1084.35,0.4857
1089.79,0.4786
1095.23,0.4744
1100.67,0.4713
1106.11,0.4675
1111.55,0.4636
1116.99,0.4588
1122.43,0.4527
1127.87,0.4457
1133.32,0.4371
1138.76,0.4255
1144.2,0.4137
1149.64,0.4032
1155.08,0.3942
1160.52,0.386
1165.96,0.3795
1171.4,0.3741
1176.84,0.3693
1182.28,0.3661
1187.72,0.377
