wavelength_nm,value
414.13,0.0173
417.32,0.0209
420.52,0.0204
423.72,0.0226
426.91,0.0247
430.11,0.0228
433.31,0.0222
436.5,0.0238
439.7,0.0217
442.9,0.0236
446.09,0.0244
449.29,0.0236
452.49,0.0247
455.68,0.0249
458.88,0.0268
462.08,0.0274
465.27,0.0271
468.47,0.0275
471.67,0.0277
474.86,0.0271
478.06,0.0291
481.26,0.0304
484.45,0.0326
487.65,0.0321
490.85,0.0309
494.04,0.0324
497.24,0.0342
500.43,0.0396
503.63,0.0346
506.83,0.038
510.03,0.0386
513.22,0.04
516.42,0.043
519.61,0.04
522.81,0.0411
526.01,0.0453
529.2,0.0446
532.4,0.0465
535.6,0.0469
538.79,0.0499
541.99,0.0518
545.19,0.0509
548.38,0.0523
551.58,0.0547
554.78,0.0561
557.97,0.0595
561.17,0.0572
564.37,0.0562
567.56,0.0571
570.76,0.0606
573.96,0.0596
577.15,0.0593
580.35,0.0602
583.55,0.0616
586.74,0.0636
589.94,0.0665
593.14,0.0621
596.33,0.0636
599.53,0.0616
602.73,0.0624
605.92,0.0641
609.12,0.0633
612.32,0.0638
615.51,0.0647
618.71,0.0636
621.91,0.0644
625.1,0.0675
628.3,0.0663
631.5,0.0659
634.69,0.0679
637.89,0.0681
641.09,0.07
644.28,0.07
647.48,0.0723
650.67,0.0708
653.87,0.0679
657.07,0.0678
660.27,0.0632
663.46,0.068
666.66,0.0693
669.85,0.0681
673.05,0.0672
676.25,0.0672
679.45,0.07
682.64,0.0695
685.84,0.0744
689.03,0.0721
692.23,0.0697
695.43,0.0674
698.62,0.065
701.82,0.0627
705.02,0.0603
708.21,0.0579
711.41,0.0556
714.61,0.0532
717.8,0.0509
721.0,0.0485
724.2,0.0461
727.39,0.0438
730.59,0.0414
733.79,0.0391
736.98,0.0367
740.18,0.0343
743.38,0.0378
746.57,0.0365
749.77,0.0354
752.97,0.0358
756.16,0.0363
759.36,0.0367
762.56,0.0371
765.75,0.0376
768.95,0.038
772.15,0.0384
775.34,0.0376
778.54,0.0387
781.74,0.0378
784.93,0.041
788.13,0.0379
791.33,0.0376
794.52,0.0372
797.72,0.0369
800.92,0.0365
804.11,0.0362
807.31,0.0358
810.51,0.0355
813.7,0.0351
816.9,0.0347
820.1,0.0344
823.29,0.034
826.49,0.0337
829.68,0.0333
832.88,0.033
836.08,0.0326
839.28,0.0322
842.47,0.0319
845.67,0.03
848.86,0.0274
852.06,0.0266
855.26,0.029
858.46,0.0304
861.65,0.0266
864.85,0.0264
868.04,0.0283
871.24,0.027
874.44,0.0257
877.63,0.0266
880.83,0.0264
884.03,0.0255
887.22,0.0271
890.42,0.0245
893.62,0.0246
896.81,0.0246
900.01,0.0242
903.21,0.0238
906.4,0.0234
909.6,0.0231
912.8,0.0227
915.99,0.0223
919.19,0.0219
922.39,0.0216
925.58,0.0212
928.78,0.0208
931.98,0.0204
935.17,0.0201
938.37,0.0197
941.57,0.0193
944.76,0.019
947.96,0.0186
951.16,0.0182
954.35,0.0178
957.55,0.0175
960.75,0.0171
963.94,0.0167
967.14,0.0163
970.1,0.016
975.54,0.0156
980.98,0.015
986.42,0.0144
991.86,0.0137
997.3,0.0131
1002.74,0.0124
1008.18,0.0131
1013.62,0.0126
1019.06,0.0111
1024.5,0.0121
1029.95,0.0123
1035.39,0.0133
1040.83,0.0133
1046.27,0.0132
1051.71,0.0138
1057.15,0.014
1062.59,0.0129
1068.03,0.014
1073.47,0.0135
1078.91,0.0129
1084.35,0.0127
1089.79,0.0126
1095.23,0.0124
1100.67,0.0122
1106.11,0.012
1111.55,0.0118
1116.99,0.0117
1122.43,0.0115
1127.87,0.0113
1133.32,0.0111
1138.76,0.011
1144.2,0.0108
1149.64,0.0106
1155.08,0.0104
1160.52,0.0103
1165.96,0.0101
1171.4,0.0099
1176.84,0.0097
1182.28,0.0096
1187.72,0.0094
1193.16,0.0092
1198.6,0.0098
1204.04,0.0099
1209.48,0.0088
1214.92,0.0094
1220.36,0.0099
1225.8,0.0105
1231.24,0.0096
1236.69,0.0105
1242.13,0.01
1247.57,0.0095
1253.01,0.0097
1258.45,0.0101
1263.89,0.0106
1269.33,0.0115
1274.77,0.0094
1280.21,0.0098
1285.65,0.0102
1291.09,0.0087
1296.53,0.0088
1301.97,0.0099
1307.41,0.0089
1312.85,0.0091
1318.29,0.0088
1323.73,0.0089
1329.17,0.0061
1334.61,0.0061
1340.06,0.006
1345.5,0.0059
1350.94,0.0058
1356.38,0.0057
1361.82,0.0056
1367.26,0.0055
1372.7,0.0054
1378.14,0.0053
1383.58,0.0052
1389.02,0.0051
1394.46,0.0051
1399.9,0.005
1405.34,0.0049
1410.78,0.0048
1416.22,0.0047
1421.66,0.0046
1427.1,0.0046
1432.54,0.0045
1437.98,0.0044
1443.43,0.0043
1448.87,0.0042
1454.31,0.0041
1459.75,0.0041
1465.19,0.004
1470.63,0.0039
1476.07,0.0038
1481.51,0.0037
1486.95,0.0037
1492.39,0.0036
1497.83,0.0047
1503.27,0.0062
1508.71,0.0045
1514.15,0.0054
1519.59,0.0049
1525.03,0.0047
1530.47,0.0061
1535.91,0.0054
1541.35,0.0057
1546.8,0.0049
1552.24,0.0048
1557.68,0.0054
1563.12,0.006
1568.56,0.0052
1574.0,0.0056
1579.44,0.0066
1584.88,0.0062
1590.32,0.0063
1595.76,0.0052
1601.2,0.0064
1606.64,0.0061
1612.08,0.0079
1617.52,0.0067
1622.96,0.0052
1628.4,0.0062
1633.84,0.0052
1639.28,0.0045
1644.72,0.0061
1650.17,0.0067
1655.61,0.0063
1661.05,0.0069
1666.49,0.0059
1671.93,0.0065
1677.37,0.0065
1682.81,0.0058
1688.25,0.0057
1693.69,0.0044
1699.13,0.006
1704.57,0.0061
1710.01,0.0058
1715.45,0.0045
1720.89,0.0068
1726.33,0.0046
1731.77,0.0054
1737.21,0.0055
1742.65,0.0055
1748.09,0.0043
1753.54,0.0044
1758.98,0.0049
1764.42,0.0063
1769.86,0.005
1775.3,0.0027
1780.74,0.0027
1786.18,0.0027
1791.62,0.0027
1797.06,0.0027
1802.5,0.0026
1807.94,0.0026
1813.38,0.0026
1818.82,0.0026
1824.26,0.0026
1829.7,0.0025
1835.14,0.0025
1840.58,0.0025
1846.02,0.0025
1851.46,0.0025
1856.91,0.0024
1862.35,0.0024
1867.79,0.0024
1873.23,0.0024
1878.67,0.0024
1884.11,0.0023
1889.55,0.0023
1894.99,0.0023
1900.43,0.0023
1905.87,0.0023
1911.31,0.0023
1916.75,0.0022
1922.19,0.0022
1927.63,0.0022
1933.07,0.0022
1938.51,0.0022
1943.95,0.0022
1949.39,0.0021
1954.83,0.0021
1960.28,0.0021
1965.72,0.0021
1971.16,0.0021
1976.6,0.0021
1982.04,0.002
1987.48,0.002
1992.92,0.002
1998.36,0.0038
2003.8,0.0004
2009.24,0.0
2014.68,0.0628
2020.12,0.0001
2025.56,0.0017
2031.0,0.0011
2036.44,0.0011
2041.88,0.0028
2047.32,0.0028
2052.76,0.0051
2058.2,0.0
2063.65,0.0021
2069.09,0.0653
2074.53,0.0048
2079.97,0.0054
2085.41,0.0027
2090.85,0.0027
2096.29,0.0016
2101.73,0.006
2107.17,0.0002
2112.61,0.0035
2118.05,0.0025
2123.49,0.0018
2128.93,0.0031
2134.37,0.0043
2139.81,0.0019
2145.25,0.0025
2150.69,0.0045
2156.13,0.0032
2161.57,0.001
2167.02,0.0018
2172.46,0.0022
2177.9,0.0012
2183.34,0.0064
2188.78,0.006
2194.22,0.0005
2199.66,0.0017
2205.1,0.0002
2210.54,0.001
2215.98,0.0859
2221.42,0.0035
2226.86,0.0849
2232.3,0.0078
2237.74,0.001
2243.18,0.0
2248.62,0.0036
2254.06,0.0001
2259.5,0.0027
2264.94,0.0017
2270.39,0.004
2275.83,0.0068
2281.27,0.0078
