wavelength_nm,value
414.13,0.0271
417.32,0.0306
420.52,0.0287
423.72,0.0307
426.91,0.0368
430.11,0.0339
433.31,0.0326
436.5,0.0368
439.7,0.0325
442.9,0.0331
446.09,0.036
449.29,0.0368
452.49,0.0398
455.68,0.0369
458.88,0.0422
462.08,0.0407
465.27,0.0385
468.47,0.0392
471.67,0.0419
474.86,0.0408
478.06,0.0424
481.26,0.0461
484.45,0.0489
487.65,0.0469
490.85,0.0485
494.04,0.0476
497.24,0.0511
500.43,0.0545
503.63,0.0525
506.83,0.0541
510.03,0.0538
513.22,0.0567
516.42,0.0604
519.61,0.0571
522.81,0.0593
526.01,0.0627
529.2,0.0597
532.4,0.0631
535.6,0.0647
538.79,0.0683
541.99,0.0706
545.19,0.07
548.38,0.0716
551.58,0.0736
554.78,0.0756
557.97,0.0789
561.17,0.0754
564.37,0.0776
567.56,0.0789
570.76,0.083
573.96,0.0816
577.15,0.0798
580.35,0.081
583.55,0.0826
586.74,0.0821
589.94,0.083
593.14,0.0844
596.33,0.0845
599.53,0.0837
602.73,0.0857
605.92,0.0853
609.12,0.0856
612.32,0.0832
615.51,0.0858
618.71,0.0848
621.91,0.0847
625.1,0.0874
628.3,0.0885
631.5,0.0858
634.69,0.0884
637.89,0.0859
641.09,0.0896
644.28,0.0884
647.48,0.0955
650.67,0.0907
653.87,0.0911
657.07,0.0919
660.27,0.0858
663.46,0.0915
666.66,0.0903
669.85,0.0895
673.05,0.0884
676.25,0.0883
679.45,0.0887
682.64,0.0911
685.84,0.0994
689.03,0.0969
692.23,0.0944
695.43,0.092
698.62,0.0895
701.82,0.0871
705.02,0.0846
708.21,0.0821
711.41,0.0797
714.61,0.0772
717.8,0.0747
721.0,0.0723
724.2,0.0698
727.39,0.0674
730.59,0.0649
733.79,0.0624
736.98,0.06
740.18,0.0575
743.38,0.0584
746.57,0.0586
749.77,0.0576
752.97,0.0578
756.16,0.0579
759.36,0.058
762.56,0.0582
765.75,0.0583
768.95,0.0584
772.15,0.0585
775.34,0.0612
778.54,0.0628
781.74,0.0619
784.93,0.0627
788.13,0.0634
791.33,0.0626
794.52,0.0619
797.72,0.0612
800.92,0.0605
804.11,0.0597
807.31,0.059
810.51,0.0583
813.7,0.0576
816.9,0.0568
820.1,0.0561
823.29,0.0554
826.49,0.0547
829.68,0.054
832.88,0.0532
836.08,0.0525
839.28,0.0518
842.47,0.0511
845.67,0.0484
848.86,0.0515
852.06,0.0448
855.26,0.0476
858.46,0.0441
861.65,0.045
864.85,0.0458
868.04,0.0455
871.24,0.0426
874.44,0.0431
877.63,0.04
880.83,0.0422
884.03,0.0452
887.22,0.0419
890.42,0.0378
893.62,0.0389
896.81,0.0389
900.01,0.0383
903.21,0.0376
906.4,0.0369
909.6,0.0362
912.8,0.0356
915.99,0.0349
919.19,0.0342
922.39,0.0336
925.58,0.0329
928.78,0.0322
931.98,0.0315
935.17,0.0309
938.37,0.0302
941.57,0.0295
944.76,0.0289
947.96,0.0282
951.16,0.0275
954.35,0.0268
957.55,0.0262
960.75,0.0255
963.94,0.0248
967.14,0.0242
970.1,0.0235
975.54,0.0229
980.98,0.0217
986.42,0.0206
991.86,0.0194
997.3,0.0183
1002.74,0.0172
1008.18,0.016
1013.62,0.0164
1019.06,0.0171
1024.5,0.0178
1029.95,0.0179
1035.39,0.0184
1040.83,0.0188
1046.27,0.0188
1051.71,0.019
1057.15,0.0187
1062.59,0.0195
1068.03,0.0203
1073.47,0.0195
1078.91,0.0189
1084.35,0.0185
1089.79,0.018
1095.23,0.0176
1100.67,0.0172
1106.11,0.0168
1111.55,0.0164
1116.99,0.016
1122.43,0.0155
1127.87,0.0151
1133.32,0.0147
1138.76,0.0143
1144.2,0.0139
1149.64,0.0135
1155.08,0.013
1160.52,0.0126
1165.96,0.0122
1171.4,0.0118
1176.84,0.0114
1182.28,0.011
1187.72,0.0106
1193.16,0.0101
1198.6,0.0122
1204.04,0.0124
1209.48,0.0115
1214.92,0.0111
1220.36,0.0111
1225.8,0.0115
1231.24,0.0114
1236.69,0.012
1242.13,0.0124
1247.57,0.0117
1253.01,0.0127
1258.45,0.0124
1263.89,0.0123
1269.33,0.0132
1274.77,0.012
1280.21,0.0125
1285.65,0.0131
1291.09,0.0121
1296.53,0.0123
1301.97,0.0121
1307.41,0.0127
1312.85,0.011
1318.29,0.01
