wavelength_nm,value
414.13,0.0155
417.32,0.0174
420.52,0.0179
423.72,0.0195
426.91,0.0188
430.11,0.0191
433.31,0.0168
436.5,0.0199
439.7,0.0214
442.9,0.0199
446.09,0.0191
449.29,0.0215
452.49,0.0204
455.68,0.0218
458.88,0.0218
462.08,0.0206
465.27,0.0213
468.47,0.0221
471.67,0.022
474.86,0.0204
478.06,0.0225
481.26,0.0222
484.45,0.0239
487.65,0.0221
490.85,0.0221
494.04,0.0234
497.24,0.0251
500.43,0.0277
503.63,0.024
506.83,0.0271
510.03,0.0292
513.22,0.0334
516.42,0.0342
519.61,0.0381
522.81,0.0415
526.01,0.0469
529.2,0.0478
532.4,0.0519
535.6,0.0562
538.79,0.0606
541.99,0.0607
545.19,0.0607
548.38,0.0609
551.58,0.0613
554.78,0.0636
557.97,0.0642
561.17,0.0606
564.37,0.0588
567.56,0.057
570.76,0.0574
573.96,0.053
577.15,0.0523
580.35,0.049
583.55,0.0481
586.74,0.0482
589.94,0.0466
593.14,0.0461
596.33,0.0452
599.53,0.0451
602.73,0.0459
605.92,0.0453
609.12,0.0456
612.32,0.0423
615.51,0.0394
618.71,0.0408
621.91,0.0402
625.1,0.041
628.3,0.0399
631.5,0.0396
634.69,0.0406
637.89,0.0391
641.09,0.0391
644.28,0.0371
647.48,0.0368
650.67,0.0333
653.87,0.0328
657.07,0.0323
660.27,0.0303
663.46,0.0292
666.66,0.0297
669.85,0.0278
673.05,0.0268
676.25,0.0279
679.45,0.0282
682.64,0.0281
685.84,0.0338
689.03,0.049
692.23,0.0641
695.43,0.0793
698.62,0.0945
701.82,0.1097
705.02,0.1248
708.21,0.14
711.41,0.1552
714.61,0.1704
717.8,0.1855
721.0,0.2007
724.2,0.2159
727.39,0.2311
730.59,0.2462
733.79,0.2614
736.98,0.2766
740.18,0.2918
743.38,0.3055
746.57,0.3161
749.77,0.3217
752.97,0.3264
756.16,0.3311
759.36,0.3358
762.56,0.3405
765.75,0.3452
768.95,0.3499
772.15,0.3546
775.34,0.3573
778.54,0.3629
781.74,0.3579
784.93,0.3643
788.13,0.3634
791.33,0.3654
794.52,0.3674
797.72,0.3694
800.92,0.3714
804.11,0.3734
807.31,0.3754
810.51,0.3774
813.7,0.3794
816.9,0.3814
820.1,0.3834
823.29,0.3854
826.49,0.3874
829.68,0.3894
832.88,0.3914
836.08,0.3934
839.28,0.3954
842.47,0.3974
845.67,0.3869
848.86,0.4044
852.06,0.3942
855.26,0.3871
858.46,0.3845
861.65,0.3911
864.85,0.4217
868.04,0.4005
871.24,0.4017
874.44,0.3985
877.63,0.3995
880.83,0.4093
884.03,0.4104
887.22,0.4046
890.42,0.4108
893.62,0.4163
896.81,0.417
900.01,0.4166
903.21,0.4165
906.4,0.4157
909.6,0.4151
912.8,0.4147
915.99,0.4139
919.19,0.4126
922.39,0.4112
925.58,0.4099
928.78,0.4088
931.98,0.4075
935.17,0.4048
938.37,0.4024
941.57,0.4003
944.76,0.3989
947.96,0.3968
951.16,0.3944
954.35,0.3923
957.55,0.3906
960.75,0.3894
963.94,0.388
967.14,0.3867
970.1,0.3854
975.54,0.3844
980.98,0.383
986.42,0.3825
991.86,0.3819
997.3,0.3806
1002.74,0.3831
1008.18,0.393
1013.62,0.3963
1019.06,0.4022
1024.5,0.4062
1029.95,0.4061
1035.39,0.4047
1040.83,0.4088
1046.27,0.4145
1051.71,0.4186
1057.15,0.4229
1062.59,0.4258
1068.03,0.4257
1073.47,0.4164
1078.91,0.4068
1084.35,0.4084
1089.79,0.4011
1095.23,0.3975
1100.67,0.3954
1106.11,0.3923
1111.55,0.3891
1116.99,0.3848
1122.43,0.3796
1127.87,0.374
1133.32,0.3667
1138.76,0.3559
1144.2,0.3447
1149.64,0.3352
1155.08,0.3277
1160.52,0.3211
1165.96,0.3157
1171.4,0.3115
1176.84,0.3077
1182.28,0.3051
1187.72,0.3125
1193.16,0.3198
1198.6,0.32
1204.04,0.3284
1209.48,0.334
1214.92,0.3445
1220.36,0.3445
1225.8,0.3523
1231.24,0.3564
1236.69,0.3597
1242.13,0.3578
1247.57,0.3574
1253.01,0.3588
1258.45,0.3539
1263.89,0.3579
1269.33,0.3828
1274.77,0.3706
1280.21,0.3646
1285.65,0.3578
1291.09,0.3512
1296.53,0.3444
1301.97,0.3296
1307.41,0.3166
1312.85,0.3089
1318.29,0.2914
1323.73,0.2704
1329.17,0.2515
1334.61,0.2394
1340.06,0.2314
1345.5,0.2236
1350.94,0.2128
1356.38,0.2019
1361.82,0.1918
1367.26,0.1827
1372.7,0.1739
1378.14,0.1621
1383.58,0.1485
1389.02,0.1354
1394.46,0.1228
1399.9,0.1108
1405.34,0.1014
1410.78,0.0929
1416.22,0.0848
1421.66,0.0794
1427.1,0.0747
1432.54,0.0707
1437.98,0.0683
1443.43,0.0658
1448.87,0.0648
1454.31,0.0641
1459.75,0.0635
1465.19,0.0642
1470.63,0.0646
1476.07,0.0643
1481.51,0.0636
1486.95,0.0714
1492.39,0.0792
1497.83,0.0806
1503.27,0.0855
1508.71,0.0902
1514.15,0.0974
1519.59,0.1023
1525.03,0.108
1530.47,0.1105
1535.91,0.1181
1541.35,0.1233
1546.8,0.1282
1552.24,0.1335
1557.68,0.137
1563.12,0.1378
1568.56,0.1479
1574.0,0.1477
1579.44,0.1501
1584.88,0.1537
1590.32,0.1571
1595.76,0.1563
1601.2,0.1667
1606.64,0.1685
1612.08,0.177
1617.52,0.1712
1622.96,0.1752
1628.4,0.1803
1633.84,0.1809
1639.28,0.185
1644.72,0.1861
