wavelength_nm,value
414.13,0.0209
417.32,0.024
420.52,0.0313
423.72,0.0285
426.91,0.032
430.11,0.0318
433.31,0.0299
436.5,0.0317
439.7,0.0336
442.9,0.0321
446.09,0.0332
449.29,0.0308
452.49,0.0364
455.68,0.0316
458.88,0.0344
462.08,0.032
465.27,0.0315
468.47,0.0335
471.67,0.0332
474.86,0.0351
478.06,0.0354
481.26,0.0393
484.45,0.0393
487.65,0.0379
490.85,0.0377
494.04,0.0387
497.24,0.0387
500.43,0.041
503.63,0.0407
506.83,0.0428
510.03,0.0455
513.22,0.0471
516.42,0.0503
519.61,0.051
522.81,0.0555
526.01,0.0591
529.2,0.0587
532.4,0.065
535.6,0.0646
538.79,0.0688
541.99,0.0682
545.19,0.0715
548.38,0.0707
551.58,0.0721
554.78,0.0733
557.97,0.0762
561.17,0.0735
564.37,0.0735
567.56,0.0739
570.76,0.0746
573.96,0.0708
577.15,0.0696
580.35,0.0677
583.55,0.0703
586.74,0.0701
589.94,0.0709
593.14,0.0684
596.33,0.0691
599.53,0.071
602.73,0.0704
605.92,0.0701
609.12,0.0703
612.32,0.0702
615.51,0.07
618.71,0.0686
621.91,0.0696
625.1,0.0698
628.3,0.0694
631.5,0.0706
634.69,0.0705
637.89,0.0699
641.09,0.0706
644.28,0.072
647.48,0.0713
650.67,0.0679
653.87,0.0679
657.07,0.0677
660.27,0.0634
663.46,0.0657
666.66,0.065
669.85,0.0649
673.05,0.0656
676.25,0.0662
679.45,0.065
682.64,0.0695
685.84,0.0742
689.03,0.0837
692.23,0.0931
695.43,0.1026
698.62,0.112
701.82,0.1215
705.02,0.131
708.21,0.1404
711.41,0.1499
714.61,0.1594
717.8,0.1688
721.0,0.1783
724.2,0.1878
727.39,0.1972
730.59,0.2067
733.79,0.2161
736.98,0.2256
740.18,0.2351
743.38,0.241
746.57,0.2521
749.77,0.2549
752.97,0.2576
756.16,0.2603
759.36,0.263
762.56,0.2657
765.75,0.2684
768.95,0.2711
772.15,0.2738
775.34,0.2822
778.54,0.2826
781.74,0.2842
784.93,0.2879
788.13,0.2843
791.33,0.2861
794.52,0.2879
797.72,0.2897
800.92,0.2915
804.11,0.2932
807.31,0.295
810.51,0.2968
813.7,0.2986
816.9,0.3004
820.1,0.3022
823.29,0.304
826.49,0.3058
829.68,0.3076
832.88,0.3094
836.08,0.3112
839.28,0.313
842.47,0.3148
845.67,0.3112
848.86,0.3283
852.06,0.323
855.26,0.3169
858.46,0.3145
861.65,0.3195
864.85,0.3326
868.04,0.3226
871.24,0.3193
874.44,0.3208
877.63,0.326
880.83,0.3393
884.03,0.3221
887.22,0.3415
890.42,0.3324
893.62,0.35
896.81,0.3499
900.01,0.3493
903.21,0.3486
906.4,0.3479
909.6,0.3472
912.8,0.3465
915.99,0.3459
919.19,0.3452
922.39,0.3446
925.58,0.3439
928.78,0.3432
931.98,0.3425
935.17,0.3414
938.37,0.3403
941.57,0.3392
944.76,0.3383
947.96,0.3376
951.16,0.3369
954.35,0.3361
957.55,0.3352
960.75,0.3343
963.94,0.3333
967.14,0.3322
970.1,0.331
975.54,0.33
980.98,0.3284
986.42,0.3267
991.86,0.325
997.3,0.3238
1002.74,0.3255
1008.18,0.3266
1013.62,0.3319
1019.06,0.3445
1024.5,0.3451
1029.95,0.341
1035.39,0.3389
1040.83,0.3381
1046.27,0.3429
1051.71,0.3497
1057.15,0.3612
1062.59,0.3629
1068.03,0.3644
1073.47,0.355
1078.91,0.3552
1084.35,0.3526
1089.79,0.3503
1095.23,0.348
1100.67,0.3455
1106.11,0.3431
1111.55,0.3407
1116.99,0.3382
1122.43,0.3349
1127.87,0.3303
1133.32,0.3253
1138.76,0.32
1144.2,0.315
1149.64,0.31
1155.08,0.3045
1160.52,0.2991
1165.96,0.2952
1171.4,0.2915
1176.84,0.288
1182.28,0.2858
1187.72,0.2956
1193.16,0.3054
1198.6,0.3263
1204.04,0.3143
1209.48,0.3208
1214.92,0.3179
1220.36,0.3276
1225.8,0.3371
1231.24,0.3365
1236.69,0.3465
1242.13,0.3559
1247.57,0.3584
1253.01,0.3657
1258.45,0.3757
1263.89,0.3846
1269.33,0.3673
1274.77,0.3487
1280.21,0.368
1285.65,0.3649
1291.09,0.3714
1296.53,0.3766
1301.97,0.3758
1307.41,0.3684
1312.85,0.3637
1318.29,0.3421
1323.73,0.3398
1329.17,0.4001
1334.61,0.377
1340.06,0.3654
1345.5,0.354
1350.94,0.3397
1356.38,0.3253
1361.82,0.3107
1367.26,0.2953
1372.7,0.2803
1378.14,0.2627
1383.58,0.2435
1389.02,0.2251
1394.46,0.2074
1399.9,0.1904
1405.34,0.1762
1410.78,0.163
1416.22,0.1503
1421.66,0.1413
1427.1,0.133
1432.54,0.1252
1437.98,0.1185
1443.43,0.1118
1448.87,0.1079
1454.31,0.1047
1459.75,0.1013
1465.19,0.0988
1470.63,0.0956
1476.07,0.0905
1481.51,0.0841
1486.95,0.088
1492.39,0.0919
1497.83,0.1044
1503.27,0.1212
1508.71,0.1186
1514.15,0.1382
1519.59,0.1446
1525.03,0.1544
1530.47,0.1601
1535.91,0.1706
1541.35,0.1777
1546.8,0.1825
1552.24,0.1885
1557.68,0.193
1563.12,0.195
1568.56,0.2091
1574.0,0.2029
1579.44,0.2008
1584.88,0.2052
1590.32,0.2097
1595.76,0.2129
1601.2,0.2217
1606.64,0.2225
1612.08,0.2308
1617.52,0.2258
1622.96,0.2307
1628.4,0.2378
1633.84,0.2397
1639.28,0.2446
1644.72,0.244
1650.17,0.2442
1655.61,0.2447
1661.05,0.2455
1666.49,0.2455
1671.93,0.2452
1677.37,0.2502
1682.81,0.2493
1688.25,0.2436
1693.69,0.2415
1699.13,0.2387
1704.57,0.235
1710.01,0.2307
1715.45,0.2286
1720.89,0.2285
1726.33,0.2182
1731.77,0.2166
1737.21,0.2233
1742.65,0.2165
1748.09,0.2172
1753.54,0.2141
1758.98,0.2084
1764.42,0.2073
1769.86,0.1871
1775.3,0.1922
1780.74,0.1785
1786.18,0.1758
1791.62,0.1726
1797.06,0.1682
1802.5,0.1615
1807.94,0.1328
1813.38,0.1051
1818.82,0.0783
1824.26,0.0525
1829.7,0.048
1835.14,0.0468
1840.58,0.0456
1846.02,0.0444
1851.46,0.0433
1856.91,0.0424
1862.35,0.0415
1867.79,0.0406
1873.23,0.0397
1878.67,0.0388
1884.11,0.0379
1889.55,0.037
1894.99,0.0361
1900.43,0.0352
1905.87,0.0343
1911.31,0.0333
1916.75,0.0324
1922.19,0.0315
1927.63,0.0307
1933.07,0.0299
1938.51,0.0291
1943.95,0.0283
1949.39,0.0277
1954.83,0.0303
1960.28,0.0326
1965.72,0.0346
1971.16,0.0343
1976.6,0.0333
1982.04,0.0331
1987.48,0.0495
1992.92,0.066
1998.36,0.0542
2003.8,0.0722
2009.24,0.0718
2014.68,0.0823
2020.12,0.0749
2025.56,0.0909
2031.0,0.0918
2036.44,0.0895
2041.88,0.0928
2047.32,0.0865
2052.76,0.0927
2058.2,0.0919
2063.65,0.0927
2069.09,0.0972
2074.53,0.0996
2079.97,0.0993
2085.41,0.0969
2090.85,0.0984
2096.29,0.0987
2101.73,0.1021
2107.17,0.0981
2112.61,0.1005
2118.05,0.1031
2123.49,0.1047
2128.93,0.108
2134.37,0.1099
2139.81,0.1129
2145.25,0.1093
2150.69,0.1159
2156.13,0.1132
2161.57,0.1155
2167.02,0.121
2172.46,0.1172
2177.9,0.1146
2183.34,0.1191
2188.78,0.1245
2194.22,0.1193
2199.66,0.1243
2205.1,0.1321
2210.54,0.1238
2215.98,0.1266
2221.42,0.1223
2226.86,0.1217
2232.3,0.1196
2237.74,0.1161
2243.18,0.111
2248.62,0.1088
2254.06,0.1093
2259.5,0.1039
2264.94,0.0994
2270.39,0.101
2275.83,0.0984
2281.27,0.0914
2286.71,0.0938
2292.15,0.0914
2297.59,0.0925
2303.03,0.0939
2308.47,0.0854
2313.91,0.077
2319.35,0.0889
2324.79,0.0848
2330.23,0.0785
2335.67,0.0729
2341.11,0.0768
2346.55,0.0674
2351.99,0.0785
2357.43,0.0772
2362.87,0.0639
2368.32,0.0635
2373.76,0.063
2379.2,0.0541
2384.64,0.0642
2390.08,0.0654
2395.52,0.0597
2400.96,0.0605
2406.4,0.05
2411.84,0.046
2417.28,0.0614
2422.72,0.043
2428.16,0.0505
2433.6,0.0691
2439.04,0.047
2444.48,0.0283
2449.92,0.0535
2455.36,0.0429
2460.8,0.0248
2466.24,0.0294
2471.69,0.0164
2477.13,0.0011
2482.57,0.2846
2488.01,0.4378
2493.45,0.7847
2498.89,0.2319
