wavelength_nm,value
414.13,0.018
417.32,0.018
420.52,0.0184
423.72,0.0193
426.91,0.0181
430.11,0.0207
433.31,0.0152
436.5,0.0169
439.7,0.0156
442.9,0.0213
446.09,0.0188
449.29,0.0164
452.49,0.0178
455.68,0.0187
458.88,0.018
462.08,0.0177
465.27,0.0175
468.47,0.0186
471.67,0.0186
474.86,0.0197
478.06,0.019
481.26,0.021
484.45,0.0189
487.65,0.0209
490.85,0.0186
494.04,0.0195
497.24,0.0197
500.43,0.0212
503.63,0.0212
506.83,0.0195
510.03,0.0216
513.22,0.0231
516.42,0.0255
519.61,0.0239
522.81,0.022
526.01,0.0235
529.2,0.0242
532.4,0.0253
535.6,0.0261
538.79,0.0287
541.99,0.0274
545.19,0.0264
548.38,0.0292
551.58,0.0275
554.78,0.0296
557.97,0.0313
561.17,0.0304
564.37,0.0306
567.56,0.0301
570.76,0.0311
573.96,0.0322
577.15,0.0299
580.35,0.0303
583.55,0.031
586.74,0.0315
589.94,0.0317
593.14,0.0303
596.33,0.0307
599.53,0.0302
602.73,0.028
605.92,0.0293
609.12,0.0293
612.32,0.0278
615.51,0.0285
618.71,0.0263
621.91,0.0266
625.1,0.0273
628.3,0.0257
631.5,0.0262
634.69,0.0258
637.89,0.0264
641.09,0.0265
644.28,0.027
647.48,0.0267
650.67,0.0256
653.87,0.0262
657.07,0.0246
660.27,0.0214
663.46,0.0215
666.66,0.022
669.85,0.0192
673.05,0.0202
676.25,0.0205
679.45,0.02
682.64,0.0214
685.84,0.0259
689.03,0.0256
692.23,0.0253
695.43,0.0251
698.62,0.0248
701.82,0.0245
705.02,0.0242
708.21,0.0239
711.41,0.0237
714.61,0.0234
717.8,0.0231
721.0,0.0228
724.2,0.0225
727.39,0.0223
730.59,0.022
733.79,0.0217
736.98,0.0214
740.18,0.0211
743.38,0.0218
746.57,0.0222
749.77,0.0217
752.97,0.0219
756.16,0.0221
759.36,0.0223
762.56,0.0224
765.75,0.0226
768.95,0.0228
772.15,0.023
775.34,0.0229
778.54,0.0236
781.74,0.0244
784.93,0.0228
788.13,0.0248
791.33,0.0244
794.52,0.024
797.72,0.0236
800.92,0.0232
804.11,0.0228
807.31,0.0223
810.51,0.0219
813.7,0.0215
816.9,0.0211
820.1,0.0207
823.29,0.0203
826.49,0.0199
829.68,0.0194
832.88,0.019
836.08,0.0186
839.28,0.0182
842.47,0.0178
845.67,0.0215
848.86,0.0196
852.06,0.0195
855.26,0.0205
858.46,0.0181
861.65,0.021
864.85,0.02
868.04,0.0206
871.24,0.0197
874.44,0.0194
877.63,0.0173
880.83,0.0191
884.03,0.0171
887.22,0.0173
890.42,0.0178
893.62,0.0176
896.81,0.0176
900.01,0.0174
903.21,0.0171
906.4,0.0169
909.6,0.0166
912.8,0.0164
915.99,0.0161
919.19,0.0159
922.39,0.0156
925.58,0.0154
928.78,0.0151
931.98,0.0149
935.17,0.0146
938.37,0.0144
941.57,0.0141
944.76,0.0139
947.96,0.0136
951.16,0.0134
954.35,0.0131
957.55,0.0129
960.75,0.0126
963.94,0.0124
967.14,0.0121
970.1,0.0119
975.54,0.0116
980.98,0.0112
986.42,0.0108
991.86,0.0103
997.3,0.0099
1002.74,0.0095
1008.18,0.0093
1013.62,0.0099
1019.06,0.0106
1024.5,0.0086
1029.95,0.0087
1035.39,0.0094
1040.83,0.0106
1046.27,0.0098
1051.71,0.0101
1057.15,0.01
1062.59,0.0109
1068.03,0.0117
1073.47,0.0101
1078.91,0.0105
1084.35,0.0104
1089.79,0.0103
1095.23,0.0103
1100.67,0.0102
1106.11,0.0101
1111.55,0.01
1116.99,0.0099
1122.43,0.0098
1127.87,0.0098
1133.32,0.0097
1138.76,0.0096
1144.2,0.0095
1149.64,0.0094
1155.08,0.0094
1160.52,0.0093
1165.96,0.0092
1171.4,0.0091
1176.84,0.009
1182.28,0.0089
1187.72,0.0089
1193.16,0.0088
1198.6,0.0102
1204.04,0.0094
1209.48,0.0102
1214.92,0.0095
1220.36,0.0104
