wavelength_nm,value
414.13,0.0495
417.32,0.0519
420.52,0.0542
423.72,0.0535
426.91,0.0563
430.11,0.0607
433.31,0.0572
436.5,0.0598
439.7,0.0647
442.9,0.0617
446.09,0.0627
449.29,0.0645
452.49,0.0683
455.68,0.0683
458.88,0.0697
462.08,0.0708
465.27,0.071
468.47,0.0705
471.67,0.0714
474.86,0.0736
478.06,0.0775
481.26,0.0804
484.45,0.0807
487.65,0.0809
490.85,0.0812
494.04,0.0804
497.24,0.0847
500.43,0.0894
503.63,0.0868
506.83,0.0874
510.03,0.0891
513.22,0.0927
516.42,0.0999
519.61,0.0921
522.81,0.0933
526.01,0.0966
529.2,0.0952
532.4,0.0993
535.6,0.1037
538.79,0.1081
541.99,0.1073
545.19,0.1064
548.38,0.1092
551.58,0.1103
554.78,0.1129
557.97,0.1182
561.17,0.1135
564.37,0.1168
567.56,0.1182
570.76,0.1204
573.96,0.1196
577.15,0.1198
580.35,0.1191
583.55,0.1236
586.74,0.1268
589.94,0.1288
593.14,0.127
596.33,0.1274
599.53,0.1275
602.73,0.1305
605.92,0.1317
609.12,0.1336
612.32,0.1333
615.51,0.1366
618.71,0.1353
621.91,0.1361
625.1,0.1401
628.3,0.1393
631.5,0.1394
634.69,0.1404
637.89,0.1417
641.09,0.1451
644.28,0.1468
647.48,0.1519
650.67,0.1483
653.87,0.1495
657.07,0.1489
660.27,0.1434
663.46,0.1506
666.66,0.1496
669.85,0.1507
673.05,0.1531
676.25,0.1556
679.45,0.1539
682.64,0.1561
685.84,0.1699
689.03,0.1704
692.23,0.171
695.43,0.1716
698.62,0.1721
701.82,0.1727
705.02,0.1732
708.21,0.1738
711.41,0.1743
714.61,0.1749
717.8,0.1754
721.0,0.176
724.2,0.1766
727.39,0.1771
730.59,0.1777
733.79,0.1782
736.98,0.1788
740.18,0.1793
743.38,0.1804
746.57,0.1848
749.77,0.1857
752.97,0.1869
756.16,0.1882
759.36,0.1894
762.56,0.1906
765.75,0.1919
768.95,0.1931
772.15,0.1944
775.34,0.1989
778.54,0.1999
781.74,0.2013
784.93,0.1999
788.13,0.202
791.33,0.2027
794.52,0.2035
797.72,0.2043
800.92,0.2051
804.11,0.2058
807.31,0.2066
810.51,0.2074
813.7,0.2081
816.9,0.2089
820.1,0.2097
823.29,0.2105
826.49,0.2112
829.68,0.212
832.88,0.2128
836.08,0.2136
839.28,0.2143
842.47,0.2151
845.67,0.2188
848.86,0.2259
852.06,0.2245
855.26,0.2157
858.46,0.2086
861.65,0.2162
864.85,0.2276
868.04,0.2197
871.24,0.2238
874.44,0.2207
877.63,0.2124
880.83,0.216
884.03,0.2165
887.22,0.223
890.42,0.2108
893.62,0.2203
896.81,0.2201
900.01,0.2199
903.21,0.2195
906.4,0.2194
909.6,0.2191
912.8,0.2189
915.99,0.2187
919.19,0.2186
922.39,0.2186
925.58,0.2185
928.78,0.2184
931.98,0.2183
935.17,0.2184
938.37,0.2183
941.57,0.2183
944.76,0.2181
947.96,0.2182
951.16,0.2183
954.35,0.2184
957.55,0.2183
960.75,0.2181
963.94,0.218
967.14,0.2177
970.1,0.2175
975.54,0.2172
980.98,0.2167
986.42,0.216
991.86,0.2154
997.3,0.215
1002.74,0.215
1008.18,0.2185
1013.62,0.2211
1019.06,0.2227
1024.5,0.2221
1029.95,0.2213
1035.39,0.2197
1040.83,0.2214
1046.27,0.2233
1051.71,0.2265
1057.15,0.2277
1062.59,0.2262
1068.03,0.2275
1073.47,0.2238
1078.91,0.2213
1084.35,0.2201
1089.79,0.2209
1095.23,0.2208
1100.67,0.2204
1106.11,0.2202
1111.55,0.22
1116.99,0.2201
1122.43,0.22
1127.87,0.2195
1133.32,0.2192
1138.76,0.2196
1144.2,0.2202
1149.64,0.2205
1155.08,0.2201
1160.52,0.2195
1165.96,0.2193
1171.4,0.2188
1176.84,0.2183
1182.28,0.218
1187.72,0.2204
1193.16,0.2227
1198.6,0.2236
1204.04,0.2306
1209.48,0.2344
1214.92,0.2369
1220.36,0.2384
1225.8,0.2438
1231.24,0.2444
1236.69,0.2451
1242.13,0.2458
1247.57,0.2457
1253.01,0.2442
1258.45,0.2398
1263.89,0.244
1269.33,0.2609
1274.77,0.2556
1280.21,0.253
1285.65,0.2523
1291.09,0.245
1296.53,0.2393
1301.97,0.2376
1307.41,0.2296
1312.85,0.2266
1318.29,0.2223
1323.73,0.2113
1329.17,0.2001
1334.61,0.1994
1340.06,0.1982
1345.5,0.1967
1350.94,0.195
1356.38,0.1931
1361.82,0.1913
1367.26,0.1896
1372.7,0.188
1378.14,0.1867
1383.58,0.1857
1389.02,0.1848
1394.46,0.1842
1399.9,0.1836
1405.34,0.1831
1410.78,0.1826
1416.22,0.1821
1421.66,0.1816
1427.1,0.1812
1432.54,0.1808
1437.98,0.1807
1443.43,0.1807
1448.87,0.1809
1454.31,0.1814
1459.75,0.1821
1465.19,0.1828
1470.63,0.1835
1476.07,0.1841
1481.51,0.1845
1486.95,0.1844
1492.39,0.1843
1497.83,0.1855
1503.27,0.1942
1508.71,0.1939
1514.15,0.2059
1519.59,0.2112
1525.03,0.2129
1530.47,0.2168
1535.91,0.2235
1541.35,0.2267
1546.8,0.2293
1552.24,0.2309
1557.68,0.2346
1563.12,0.2302
1568.56,0.2409
1574.0,0.2358
1579.44,0.2328
1584.88,0.2329
1590.32,0.2357
1595.76,0.2319
1601.2,0.2437
1606.64,0.2436
1612.08,0.2502
1617.52,0.2376
1622.96,0.2412
1628.4,0.2446
1633.84,0.2443
1639.28,0.2466
1644.72,0.2471
1650.17,0.2465
1655.61,0.247
1661.05,0.2468
1666.49,0.2478
1671.93,0.2488
1677.37,0.251
1682.81,0.2512
1688.25,0.2489
1693.69,0.2461
1699.13,0.2444
1704.57,0.2435
1710.01,0.2429
1715.45,0.244
1720.89,0.2373
1726.33,0.2387
1731.77,0.2299
1737.21,0.2414
1742.65,0.2331
1748.09,0.2387
1753.54,0.2352
1758.98,0.2306
1764.42,0.2253
1769.86,0.2068
1775.3,0.2075
1780.74,0.2057
1786.18,0.2037
