wavelength_nm,value
414.13,0.0138
417.32,0.0107
420.52,0.0145
423.72,0.0121
426.91,0.015
430.11,0.0167
433.31,0.014
436.5,0.0116
439.7,0.0173
442.9,0.0143
446.09,0.0159
449.29,0.0148
452.49,0.016
455.68,0.0136
458.88,0.0163
462.08,0.0148
465.27,0.0147
468.47,0.0155
471.67,0.0149
474.86,0.0148
478.06,0.0168
481.26,0.0169
484.45,0.0156
487.65,0.0172
490.85,0.0162
494.04,0.0156
497.24,0.0166
500.43,0.0188
503.63,0.016
506.83,0.017
510.03,0.0189
513.22,0.0192
516.42,0.0217
519.61,0.023
522.81,0.0226
526.01,0.026
529.2,0.026
532.4,0.0271
535.6,0.0299
538.79,0.0312
541.99,0.0312
545.19,0.0314
548.38,0.0321
551.58,0.0341
554.78,0.0329
557.97,0.0344
561.17,0.0318
564.37,0.0322
567.56,0.0321
570.76,0.0297
573.96,0.0276
577.15,0.0267
580.35,0.0258
583.55,0.0254
586.74,0.0258
589.94,0.0251
593.14,0.0251
596.33,0.0243
599.53,0.0238
602.73,0.0241
605.92,0.0248
609.12,0.023
612.32,0.0224
615.51,0.0226
618.71,0.0215
621.91,0.0214
625.1,0.0215
628.3,0.0205
631.5,0.0199
634.69,0.0215
637.89,0.0208
641.09,0.0211
644.28,0.0204
647.48,0.0208
650.67,0.0187
653.87,0.0193
657.07,0.019
660.27,0.0178
663.46,0.0176
666.66,0.0172
669.85,0.0181
673.05,0.0178
676.25,0.0177
679.45,0.0183
682.64,0.017
685.84,0.02
689.03,0.0285
692.23,0.0371
695.43,0.0456
698.62,0.0542
701.82,0.0627
705.02,0.0713
708.21,0.0798
711.41,0.0884
714.61,0.0969
717.8,0.1055
721.0,0.1141
724.2,0.1226
727.39,0.1311
730.59,0.1397
733.79,0.1483
736.98,0.1568
740.18,0.1654
743.38,0.1756
746.57,0.1877
749.77,0.191
752.97,0.1933
756.16,0.1955
759.36,0.1978
762.56,0.2
765.75,0.2022
768.95,0.2045
772.15,0.2067
775.34,0.2177
778.54,0.2103
781.74,0.2149
784.93,0.2138
788.13,0.2192
791.33,0.2197
794.52,0.2203
797.72,0.2209
800.92,0.2215
804.11,0.2221
807.31,0.2227
810.51,0.2233
813.7,0.2238
816.9,0.2244
820.1,0.225
823.29,0.2256
826.49,0.2262
829.68,0.2268
832.88,0.2273
836.08,0.2279
839.28,0.2285
842.47,0.2291
845.67,0.2286
848.86,0.2338
852.06,0.227
855.26,0.2302
858.46,0.2219
861.65,0.2238
864.85,0.232
868.04,0.2225
871.24,0.2157
874.44,0.2276
877.63,0.2228
880.83,0.2336
884.03,0.2288
887.22,0.2405
890.42,0.2215
893.62,0.2252
896.81,0.2255
900.01,0.2268
903.21,0.2283
906.4,0.2293
