wavelength_nm,value
414.13,0.023
417.32,0.0221
420.52,0.0232
423.72,0.022
426.91,0.0238
430.11,0.0277
433.31,0.0269
436.5,0.0271
439.7,0.0248
442.9,0.0287
446.09,0.029
449.29,0.0265
452.49,0.0305
455.68,0.0292
458.88,0.0314
462.08,0.0321
465.27,0.0309
468.47,0.0306
471.67,0.0309
474.86,0.0327
478.06,0.0338
481.26,0.0345
484.45,0.0368
487.65,0.0346
490.85,0.0373
494.04,0.0361
497.24,0.0389
500.43,0.0422
503.63,0.0414
506.83,0.0431
510.03,0.0432
513.22,0.0482
516.42,0.0474
519.61,0.0465
522.81,0.0476
526.01,0.0508
529.2,0.0501
532.4,0.0513
535.6,0.0543
538.79,0.0582
541.99,0.0586
545.19,0.0596
548.38,0.0593
551.58,0.0621
554.78,0.0602
557.97,0.0661
561.17,0.0642
564.37,0.0664
567.56,0.0655
570.76,0.0688
573.96,0.0673
577.15,0.0677
580.35,0.0691
583.55,0.0709
586.74,0.0724
589.94,0.0728
593.14,0.0737
596.33,0.0698
599.53,0.0718
602.73,0.0731
605.92,0.0733
609.12,0.0714
612.32,0.0715
615.51,0.0732
618.71,0.0708
621.91,0.0738
625.1,0.0752
628.3,0.0728
631.5,0.0748
634.69,0.0774
637.89,0.0769
641.09,0.0776
644.28,0.0773
647.48,0.0798
650.67,0.0779
653.87,0.0764
657.07,0.0766
660.27,0.0717
663.46,0.0751
666.66,0.0726
669.85,0.0754
673.05,0.0765
676.25,0.0763
679.45,0.0739
682.64,0.0771
685.84,0.0834
689.03,0.0807
692.23,0.0781
695.43,0.0754
698.62,0.0727
701.82,0.0701
705.02,0.0674
708.21,0.0648
711.41,0.0621
714.61,0.0594
717.8,0.0568
721.0,0.0541
724.2,0.0514
727.39,0.0488
730.59,0.0461
733.79,0.0435
736.98,0.0408
740.18,0.0381
743.38,0.0381
746.57,0.0374
749.77,0.0396
752.97,0.0392
756.16,0.0388
759.36,0.0384
762.56,0.038
765.75,0.0377
768.95,0.0373
772.15,0.0369
775.34,0.0406
778.54,0.0397
781.74,0.0417
784.93,0.041
788.13,0.0435
791.33,0.0427
794.52,0.042
797.72,0.0412
800.92,0.0405
804.11,0.0398
807.31,0.039
810.51,0.0383
813.7,0.0376
816.9,0.0368
820.1,0.0361
823.29,0.0353
826.49,0.0346
829.68,0.0339
832.88,0.0331
836.08,0.0324
839.28,0.0316
842.47,0.0309
845.67,0.0306
848.86,0.0297
852.06,0.0294
855.26,0.0304
858.46,0.0294
861.65,0.0289
864.85,0.0285
868.04,0.0285
871.24,0.0282
874.44,0.0278
877.63,0.0268
880.83,0.0245
884.03,0.0241
887.22,0.0268
890.42,0.0268
893.62,0.0259
896.81,0.0259
900.01,0.0254
903.21,0.025
906.4,0.0246
909.6,0.0241
912.8,0.0237
915.99,0.0233
919.19,0.0229
922.39,0.0224
925.58,0.022
928.78,0.0216
931.98,0.0212
935.17,0.0207
938.37,0.0203
941.57,0.0199
944.76,0.0194
947.96,0.019
951.16,0.0186
954.35,0.0182
957.55,0.0177
960.75,0.0173
963.94,0.0169
967.14,0.0164
970.1,0.016
975.54,0.0156
980.98,0.0149
986.42,0.0142
991.86,0.0134
997.3,0.0127
1002.74,0.012
1008.18,0.0123
1013.62,0.0115
1019.06,0.0115
