wavelength_nm,value
414.13,0.0189
417.32,0.0176
420.52,0.0171
423.72,0.0173
426.91,0.0187
430.11,0.0255
433.31,0.0177
436.5,0.0211
439.7,0.018
442.9,0.021
446.09,0.0199
449.29,0.0201
452.49,0.0216
455.68,0.0197
458.88,0.0217
462.08,0.0187
465.27,0.0182
468.47,0.0174
471.67,0.0193
474.86,0.019
478.06,0.0225
481.26,0.0211
484.45,0.0217
487.65,0.0214
490.85,0.021
494.04,0.0196
497.24,0.0214
500.43,0.0232
503.63,0.0234
506.83,0.0221
510.03,0.0241
513.22,0.0253
516.42,0.0273
519.61,0.0245
522.81,0.0243
526.01,0.0279
529.2,0.0259
532.4,0.0275
535.6,0.0295
538.79,0.0301
541.99,0.0303
545.19,0.03
548.38,0.0316
551.58,0.0327
554.78,0.0336
557.97,0.0338
561.17,0.0335
564.37,0.0339
567.56,0.0352
570.76,0.0366
573.96,0.0353
577.15,0.0333
580.35,0.0346
583.55,0.0349
586.74,0.0351
589.94,0.0363
593.14,0.035
596.33,0.0349
599.53,0.0323
602.73,0.032
605.92,0.0331
609.12,0.0327
612.32,0.0316
615.51,0.0323
618.71,0.029
621.91,0.0304
625.1,0.0293
628.3,0.0307
631.5,0.0294
634.69,0.0293
637.89,0.0283
641.09,0.0323
644.28,0.03
647.48,0.03
650.67,0.0295
653.87,0.0283
657.07,0.0273
660.27,0.0252
663.46,0.0242
666.66,0.0232
669.85,0.0227
673.05,0.0234
676.25,0.0227
679.45,0.0228
682.64,0.0241
685.84,0.0274
689.03,0.027
692.23,0.0267
695.43,0.0263
698.62,0.0259
701.82,0.0255
705.02,0.0252
708.21,0.0248
711.41,0.0244
714.61,0.024
717.8,0.0237
721.0,0.0233
724.2,0.0229
727.39,0.0225
730.59,0.0222
733.79,0.0218
736.98,0.0214
740.18,0.021
743.38,0.0215
746.57,0.0213
749.77,0.0223
752.97,0.0223
756.16,0.0223
759.36,0.0223
762.56,0.0223
765.75,0.0223
768.95,0.0222
772.15,0.0222
775.34,0.0216
778.54,0.0236
781.74,0.0224
784.93,0.0228
788.13,0.0224
791.33,0.0223
794.52,0.0222
797.72,0.0221
800.92,0.022
804.11,0.0219
807.31,0.0218
810.51,0.0217
813.7,0.0215
816.9,0.0214
820.1,0.0213
823.29,0.0212
826.49,0.0211
829.68,0.021
832.88,0.0209
836.08,0.0208
839.28,0.0207
842.47,0.0206
845.67,0.0188
848.86,0.0181
852.06,0.0176
855.26,0.0176
858.46,0.0196
861.65,0.0168
864.85,0.0192
868.04,0.0192
871.24,0.0195
874.44,0.021
877.63,0.0189
880.83,0.0189
884.03,0.0176
887.22,0.0183
890.42,0.0198
893.62,0.0203
896.81,0.0203
900.01,0.02
903.21,0.0197
906.4,0.0193
909.6,0.019
912.8,0.0187
915.99,0.0183
919.19,0.018
922.39,0.0176
925.58,0.0173
928.78,0.017
931.98,0.0166
935.17,0.0163
938.37,0.016
941.57,0.0156
944.76,0.0153
947.96,0.0149
951.16,0.0146
954.35,0.0143
957.55,0.0139
960.75,0.0136
963.94,0.0132
967.14,0.0129
970.1,0.0126
975.54,0.0123
980.98,0.0117
986.42,0.0111
991.86,0.0105
997.3,0.01
1002.74,0.0094
1008.18,0.0086
1013.62,0.0083
1019.06,0.0085
1024.5,0.0084
1029.95,0.0067
1035.39,0.0072
1040.83,0.0071
1046.27,0.0082
1051.71,0.009
1057.15,0.0096
1062.59,0.0086
1068.03,0.0091
1073.47,0.0097
1078.91,0.0088
1084.35,0.0087
1089.79,0.0085
1095.23,0.0084
1100.67,0.0083
1106.11,0.0081
1111.55,0.008
1116.99,0.0079
1122.43,0.0077
1127.87,0.0076
1133.32,0.0075
1138.76,0.0073
1144.2,0.0072
1149.64,0.0071
1155.08,0.0069
1160.52,0.0068
1165.96,0.0067
1171.4,0.0065
1176.84,0.0064
1182.28,0.0063
1187.72,0.0061
1193.16,0.006
1198.6,0.0079
1204.04,0.0073
1209.48,0.0079
1214.92,0.0082
1220.36,0.0092
1225.8,0.0087
1231.24,0.0074
1236.69,0.0081
1242.13,0.0087
1247.57,0.0084
1253.01,0.0077
1258.45,0.0086
1263.89,0.0083
1269.33,0.0085
1274.77,0.0088
1280.21,0.0083
1285.65,0.0079
1291.09,0.0081
1296.53,0.0086
1301.97,0.0081
1307.41,0.0078
1312.85,0.0088
1318.29,0.009
1323.73,0.0075
1329.17,0.0097
1334.61,0.0094
1340.06,0.0091
1345.5,0.0088
1350.94,0.0084
1356.38,0.0081
1361.82,0.0078
1367.26,0.0074
1372.7,0.0071
1378.14,0.0068
1383.58,0.0065
1389.02,0.0062
1394.46,0.0058
1399.9,0.0055
1405.34,0.0052
1410.78,0.0049
1416.22,0.0046
1421.66,0.0043
1427.1,0.0039
1432.54,0.0036
1437.98,0.0033
1443.43,0.003
1448.87,0.0027
1454.31,0.0024
1459.75,0.0021
1465.19,0.0017
1470.63,0.0014
1476.07,0.0011
1481.51,0.0008
1486.95,0.0005
1492.39,0.0002
1497.83,0.0023
1503.27,0.0024
1508.71,0.0032
1514.15,0.0028
1519.59,0.0042
1525.03,0.0035
1530.47,0.0036
1535.91,0.0032
1541.35,0.004
1546.8,0.0037
1552.24,0.004
1557.68,0.0041
1563.12,0.0043
1568.56,0.0046
1574.0,0.0042
1579.44,0.0044
1584.88,0.0044
1590.32,0.0042
1595.76,0.0041
1601.2,0.005
1606.64,0.004
1612.08,0.0049
1617.52,0.0036
1622.96,0.0043
1628.4,0.0046
1633.84,0.0043
1639.28,0.0044
1644.72,0.0038
1650.17,0.0044
1655.61,0.0039
1661.05,0.0041
1666.49,0.004
1671.93,0.0043
1677.37,0.0037
1682.81,0.0043
1688.25,0.0039
1693.69,0.0029
1699.13,0.0044
1704.57,0.0039
1710.01,0.0032
1715.45,0.0037
1720.89,0.0014
1726.33,0.0041
1731.77,0.0019
1737.21,0.0033
1742.65,0.0024
1748.09,0.0025
1753.54,0.0018
1758.98,0.0029
1764.42,0.0012
1769.86,0.003
1775.3,0.0024
1780.74,0.0035
1786.18,0.0046
1791.62,0.0057
1797.06,0.0067
1802.5,0.0078
1807.94,0.0088
1813.38,0.0099
1818.82,0.0109
1824.26,0.0119
1829.7,0.0129
1835.14,0.0139
1840.58,0.0149
1846.02,0.0159
1851.46,0.0169
1856.91,0.018
1862.35,0.019
1867.79,0.02
1873.23,0.0211
1878.67,0.0221
1884.11,0.0232
1889.55,0.0242
1894.99,0.0252
1900.43,0.0263
1905.87,0.0273
1911.31,0.0284
1916.75,0.0295
1922.19,0.0306
1927.63,0.0317
1933.07,0.0328
1938.51,0.034
1943.95,0.0352
1949.39,0.0365
1954.83,0.0377
1960.28,0.039
1965.72,0.0403
1971.16,0.0416
1976.6,0.0428
1982.04,0.044
1987.48,0.0452
1992.92,0.0463
1998.36,0.045
2003.8,0.0717
2009.24,0.0546
2014.68,0.0643
2020.12,0.0
2025.56,0.0007
2031.0,0.0013
2036.44,0.0024
2041.88,0.0001
2047.32,0.0582
2052.76,0.0642
2058.2,0.0
2063.65,0.001
2069.09,0.0
2074.53,0.001
2079.97,0.0668
2085.41,0.0005
2090.85,0.0009
2096.29,0.0016
2101.73,0.0706
2107.17,0.0
2112.61,0.0002
2118.05,0.0005
2123.49,0.0002
2128.93,0.0
2134.37,0.0012
2139.81,0.0004
2145.25,0.0002
2150.69,0.0008
2156.13,0.0006
2161.57,0.0018
2167.02,0.0792
2172.46,0.0778
2177.9,0.077
2183.34,0.0
2188.78,0.0008
2194.22,0.0783
2199.66,0.0
2205.1,0.0839
2210.54,0.0
2215.98,0.0004
2221.42,0.0818
2226.86,0.0819
2232.3,0.0807
2237.74,0.0795
2243.18,0.0783
2248.62,0.0769
2254.06,0.0
2259.5,0.0004
2264.94,0.0716
2270.39,0.0716
2275.83,0.0701
2281.27,0.0686
2286.71,0.0667
2292.15,0.0665
2297.59,0.0673
2303.03,0.0662
2308.47,0.0635
2313.91,0.0574
2319.35,0.0646
2324.79,0.0634
2330.23,0.0589
2335.67,0.0546
2341.11,0.0574
2346.55,0.0519
2351.99,0.0608
2357.43,0.0584
2362.87,0.0494
2368.32,0.0534
2373.76,0.054
2379.2,0.0492
2384.64,0.0563
2390.08,0.0549
2395.52,0.0517
2400.96,0.0452
2406.4,0.0473
2411.84,0.0419
2417.28,0.0638
2422.72,0.0539
2428.16,0.0434
2433.6,0.0581
2439.04,0.0441
2444.48,0.04
2449.92,0.0811
2455.36,0.0573
