wavelength_nm,value
414.13,0.027
417.32,0.024
420.52,0.0271
423.72,0.0295
426.91,0.0314
430.11,0.0364
433.31,0.0273
436.5,0.0308
439.7,0.0289
442.9,0.0301
446.09,0.0325
449.29,0.0294
452.49,0.0318
455.68,0.0297
458.88,0.032
462.08,0.0322
465.27,0.0303
468.47,0.0307
471.67,0.0306
474.86,0.0307
478.06,0.0339
481.26,0.033
484.45,0.0355
487.65,0.0351
490.85,0.0341
494.04,0.0329
497.24,0.0361
500.43,0.0401
503.63,0.0377
506.83,0.0405
510.03,0.0431
513.22,0.0477
516.42,0.0535
519.61,0.0538
522.81,0.0593
526.01,0.0653
529.2,0.0671
532.4,0.0725
535.6,0.0777
538.79,0.0807
541.99,0.0827
545.19,0.0849
548.38,0.0858
551.58,0.0885
554.78,0.0882
557.97,0.0907
561.17,0.0847
564.37,0.0844
567.56,0.0828
570.76,0.0814
573.96,0.0758
577.15,0.0728
580.35,0.0716
583.55,0.0699
586.74,0.0707
589.94,0.071
593.14,0.0674
596.33,0.0677
599.53,0.067
602.73,0.0673
605.92,0.0665
609.12,0.066
612.32,0.0633
615.51,0.0631
618.71,0.0623
621.91,0.0612
625.1,0.061
628.3,0.0615
631.5,0.061
634.69,0.0607
637.89,0.0614
641.09,0.0606
644.28,0.059
647.48,0.0573
650.67,0.0567
653.87,0.0538
657.07,0.0538
660.27,0.0497
663.46,0.0518
666.66,0.0512
669.85,0.0485
673.05,0.0494
676.25,0.0494
679.45,0.0503
682.64,0.0509
685.84,0.0568
689.03,0.0725
692.23,0.0881
695.43,0.1037
698.62,0.1194
701.82,0.135
705.02,0.1507
708.21,0.1663
711.41,0.1819
714.61,0.1976
717.8,0.2132
721.0,0.2288
724.2,0.2445
727.39,0.2601
730.59,0.2757
733.79,0.2914
736.98,0.307
740.18,0.3226
743.38,0.3311
746.57,0.349
749.77,0.3536
752.97,0.3559
756.16,0.3583
759.36,0.3606
762.56,0.363
765.75,0.3653
768.95,0.3677
772.15,0.37
775.34,0.3788
778.54,0.3803
781.74,0.3744
784.93,0.3727
788.13,0.383
791.33,0.3846
794.52,0.3861
797.72,0.3877
800.92,0.3892
804.11,0.3907
807.31,0.3923
810.51,0.3938
813.7,0.3954
816.9,0.3969
820.1,0.3985
823.29,0.4
826.49,0.4016
829.68,0.4031
832.88,0.4047
