wavelength_nm,value
414.13,0.0171
417.32,0.013
420.52,0.0163
423.72,0.0168
426.91,0.0166
430.11,0.0167
433.31,0.0134
436.5,0.0163
439.7,0.0134
442.9,0.0151
446.09,0.0172
449.29,0.0137
452.49,0.0154
455.68,0.0157
458.88,0.0162
462.08,0.0159
465.27,0.0158
468.47,0.0139
471.67,0.0154
474.86,0.0157
478.06,0.0152
481.26,0.0161
484.45,0.0166
487.65,0.0165
490.85,0.0154
494.04,0.0158
497.24,0.0171
500.43,0.0177
503.63,0.019
506.83,0.0183
510.03,0.0184
513.22,0.0197
516.42,0.0214
519.61,0.0217
522.81,0.0234
526.01,0.0253
529.2,0.0272
532.4,0.0275
535.6,0.0289
538.79,0.0304
541.99,0.0303
545.19,0.0304
548.38,0.0297
551.58,0.031
554.78,0.0306
557.97,0.0317
561.17,0.0313
564.37,0.0291
567.56,0.0275
570.76,0.0283
573.96,0.0271
577.15,0.0266
580.35,0.0252
583.55,0.0249
586.74,0.0247
589.94,0.0253
593.14,0.024
596.33,0.0245
599.53,0.0237
602.73,0.025
605.92,0.0235
609.12,0.0246
612.32,0.0238
615.51,0.0235
618.71,0.022
621.91,0.0214
625.1,0.0226
628.3,0.0204
631.5,0.0205
634.69,0.0219
637.89,0.0209
641.09,0.0224
644.28,0.021
647.48,0.021
650.67,0.0197
653.87,0.0198
657.07,0.0202
660.27,0.0186
663.46,0.0185
666.66,0.0189
669.85,0.0179
673.05,0.0179
676.25,0.0184
679.45,0.0178
682.64,0.0176
685.84,0.0203
689.03,0.0302
692.23,0.0401
695.43,0.0501
698.62,0.06
701.82,0.07
705.02,0.0799
708.21,0.0898
711.41,0.0998
714.61,0.1097
717.8,0.1197
721.0,0.1296
724.2,0.1396
727.39,0.1495
730.59,0.1594
733.79,0.1694
736.98,0.1793
740.18,0.1893
743.38,0.2065
746.57,0.2236
749.77,0.2307
752.97,0.2356
756.16,0.2405
759.36,0.2454
762.56,0.2503
765.75,0.2552
768.95,0.2601
772.15,0.265
775.34,0.2719
778.54,0.2778
781.74,0.275
784.93,0.2752
788.13,0.2735
791.33,0.2746
794.52,0.2757
797.72,0.2768
800.92,0.2778
804.11,0.2789
807.31,0.28
810.51,0.2811
813.7,0.2821
816.9,0.2832
820.1,0.2843
823.29,0.2854
826.49,0.2864
829.68,0.2875
832.88,0.2886
836.08,0.2896
839.28,0.2907
842.47,0.2918
845.67,0.3
848.86,0.308
852.06,0.2986
855.26,0.3012
858.46,0.2855
861.65,0.3027
864.85,0.3123
868.04,0.3104
871.24,0.2995
874.44,0.2955
877.63,0.3018
880.83,0.2995
884.03,0.3061
887.22,0.3037
890.42,0.3013
893.62,0.3133
896.81,0.3138
900.01,0.3149
903.21,0.3162
906.4,0.3169
909.6,0.3179
912.8,0.3189
915.99,0.3197
919.19,0.32
922.39,0.3201
925.58,0.3205
928.78,0.3209
931.98,0.3212
935.17,0.3204
938.37,0.3198
941.57,0.3194
944.76,0.3195
947.96,0.3192
951.16,0.3185
954.35,0.3179
957.55,0.3179
960.75,0.3182
963.94,0.3185
967.14,0.3187
970.1,0.319
975.54,0.3195
980.98,0.3207
986.42,0.3227
991.86,0.3247
997.3,0.326
1002.74,0.3305
1008.18,0.3458
1013.62,0.3496
1019.06,0.3531
1024.5,0.3525
1029.95,0.3521
1035.39,0.3523
1040.83,0.3554
1046.27,0.3589
1051.71,0.3658
1057.15,0.3705
1062.59,0.3703
1068.03,0.3703
1073.47,0.3628
1078.91,0.3551
1084.35,0.3568
1089.79,0.3499
1095.23,0.3466
1100.67,0.3447
1106.11,0.3419
1111.55,0.3389
1116.99,0.3349
1122.43,0.3301
1127.87,0.3251
1133.32,0.3186
1138.76,0.3088
1144.2,0.2985
1149.64,0.2899
1155.08,0.2832
1160.52,0.2774
1165.96,0.2725
1171.4,0.2687
1176.84,0.2654
1182.28,0.263
1187.72,0.2686
1193.16,0.2743
1198.6,0.2723
1204.04,0.2788
1209.48,0.2886
1214.92,0.2943
1220.36,0.2988
1225.8,0.3058
1231.24,0.3096
1236.69,0.3134
1242.13,0.3128
1247.57,0.316
1253.01,0.3155
1258.45,0.31
1263.89,0.3134
1269.33,0.338
1274.77,0.3291
1280.21,0.3244
1285.65,0.3188
1291.09,0.3097
1296.53,0.3023
1301.97,0.292
1307.41,0.2773
1312.85,0.2713
1318.29,0.2562
1323.73,0.2338
1329.17,0.2187
1334.61,0.208
1340.06,0.2006
1345.5,0.1933
1350.94,0.1833
1356.38,0.1734
1361.82,0.1641
1367.26,0.156
1372.7,0.148
1378.14,0.1374
1383.58,0.1253
1389.02,0.1136
1394.46,0.1025
1399.9,0.0919
1405.34,0.0836
1410.78,0.0761
1416.22,0.069
1421.66,0.0643
1427.1,0.0601
1432.54,0.0565
1437.98,0.0543
1443.43,0.0521
1448.87,0.0509
1454.31,0.05
1459.75,0.0492
1465.19,0.0494
1470.63,0.0491
1476.07,0.0485
1481.51,0.0475
1486.95,0.0524
1492.39,0.0574
1497.83,0.0586
1503.27,0.0629
1508.71,0.0664
1514.15,0.0716
1519.59,0.0762
1525.03,0.0799
1530.47,0.0824
1535.91,0.0889
1541.35,0.0931
1546.8,0.0965
1552.24,0.0992
1557.68,0.1034
1563.12,0.1046
1568.56,0.1104
1574.0,0.1116
1579.44,0.1118
1584.88,0.1145
1590.32,0.119
1595.76,0.1187
1601.2,0.1269
1606.64,0.1297
1612.08,0.1353
1617.52,0.13
1622.96,0.1345
1628.4,0.1376
1633.84,0.1386
1639.28,0.1427
1644.72,0.1434
1650.17,0.1432
1655.61,0.1421
1661.05,0.1433
1666.49,0.1424
1671.93,0.1432
1677.37,0.1433
1682.81,0.1443
1688.25,0.1399
1693.69,0.1363
1699.13,0.134
1704.57,0.1312
1710.01,0.1276
1715.45,0.1263
1720.89,0.1224
1726.33,0.121
1731.77,0.1159
1737.21,0.1197
1742.65,0.1162
1748.09,0.1149
1753.54,0.1144
1758.98,0.1091
1764.42,0.1065
1769.86,0.0971
1775.3,0.0978
1780.74,0.0912
1786.18,0.0883
1791.62,0.0854
1797.06,0.0824
1802.5,0.0785
1807.94,0.0644
1813.38,0.0509
1818.82,0.038
1824.26,0.0256
1829.7,0.0227
1835.14,0.0213
1840.58,0.0199
1846.02,0.0186
1851.46,0.0174
1856.91,0.0167
1862.35,0.016
1867.79,0.0153
1873.23,0.0146
1878.67,0.0138
1884.11,0.0131
1889.55,0.0123
1894.99,0.0116
1900.43,0.0109
1905.87,0.0108
1911.31,0.0106
1916.75,0.0103
1922.19,0.0102
1927.63,0.0102
1933.07,0.0102
1938.51,0.0102
1943.95,0.0101
1949.39,0.0099
1954.83,0.0103
1960.28,0.0105
1965.72,0.0106
1971.16,0.0103
1976.6,0.01
1982.04,0.0096
1987.48,0.0143
1992.92,0.0191
1998.36,0.0249
2003.8,0.0392
2009.24,0.029
2014.68,0.0304
2020.12,0.0283
2025.56,0.0228
2031.0,0.026
2036.44,0.0276
2041.88,0.0271
2047.32,0.0306
2052.76,0.0341
2058.2,0.03
2063.65,0.0323
2069.09,0.0336
2074.53,0.0337
2079.97,0.0346
2085.41,0.0347
2090.85,0.0343
2096.29,0.0343
2101.73,0.0359
2107.17,0.0373
2112.61,0.0379
2118.05,0.0386
2123.49,0.0385
2128.93,0.0422
2134.37,0.0415
2139.81,0.0426
2145.25,0.0437
2150.69,0.0444
2156.13,0.0434
2161.57,0.0452
2167.02,0.0456
2172.46,0.0451
2177.9,0.0471
2183.34,0.0487
2188.78,0.0485
2194.22,0.0499
2199.66,0.0519
2205.1,0.0461
2210.54,0.0526
2215.98,0.0525
2221.42,0.0522
2226.86,0.0514
2232.3,0.0562
2237.74,0.0532
2243.18,0.0495
2248.62,0.0511
2254.06,0.0482
2259.5,0.0477
2264.94,0.0437
2270.39,0.0435
2275.83,0.0428
2281.27,0.042
2286.71,0.0394
2292.15,0.0379
2297.59,0.0355
2303.03,0.0342
2308.47,0.0362
2313.91,0.0339
2319.35,0.0284
2324.79,0.0334
2330.23,0.0339
2335.67,0.0317
2341.11,0.0367
2346.55,0.028
2351.99,0.0283
2357.43,0.0262
2362.87,0.0323
2368.32,0.0363
2373.76,0.0276
2379.2,0.0253
2384.64,0.0227
2390.08,0.0226
2395.52,0.0146
2400.96,0.0261
2406.4,0.0264
2411.84,0.0275
2417.28,0.0306
2422.72,0.0088
2428.16,0.0169
2433.6,0.0253
2439.04,0.0221
2444.48,0.039
2449.92,0.0706
2455.36,0.0321
2460.8,0.0368
2466.24,0.0587
2471.69,0.0667
2477.13,0.0335
2482.57,0.0934
2488.01,0.5493
2493.45,0.6652
2498.89,0.118
