wavelength_nm,value
414.13,0.0133
417.32,0.0133
420.52,0.0145
423.72,0.0164
426.91,0.0168
430.11,0.0196
433.31,0.0154
436.5,0.0171
439.7,0.0167
442.9,0.0165
446.09,0.0179
449.29,0.0186
452.49,0.0179
455.68,0.0166
458.88,0.0184
462.08,0.019
465.27,0.0186
468.47,0.0168
471.67,0.0159
474.86,0.0183
478.06,0.0194
481.26,0.0191
484.45,0.0196
487.65,0.0181
490.85,0.018
494.04,0.0186
497.24,0.0198
500.43,0.0205
503.63,0.0184
506.83,0.0207
510.03,0.022
513.22,0.0228
516.42,0.0249
519.61,0.0262
522.81,0.0262
526.01,0.0289
529.2,0.0303
532.4,0.0323
535.6,0.0326
538.79,0.0343
541.99,0.0332
545.19,0.0341
548.38,0.0333
551.58,0.0346
554.78,0.0351
557.97,0.0362
561.17,0.0349
564.37,0.0334
567.56,0.0331
570.76,0.0329
573.96,0.0319
577.15,0.0301
580.35,0.0289
583.55,0.0299
586.74,0.0288
589.94,0.0289
593.14,0.0277
596.33,0.0273
599.53,0.0288
602.73,0.0293
605.92,0.0283
609.12,0.0273
612.32,0.0293
615.51,0.027
618.71,0.0265
621.91,0.0261
625.1,0.0253
628.3,0.0275
631.5,0.0276
634.69,0.0264
637.89,0.0259
641.09,0.0244
644.28,0.0259
647.48,0.0273
650.67,0.0227
653.87,0.0235
657.07,0.0239
660.27,0.0219
663.46,0.0233
666.66,0.0221
669.85,0.022
673.05,0.0221
676.25,0.0226
679.45,0.0223
682.64,0.0223
685.84,0.0253
689.03,0.0337
692.23,0.042
695.43,0.0503
698.62,0.0586
701.82,0.0669
705.02,0.0752
708.21,0.0835
711.41,0.0918
714.61,0.1001
717.8,0.1084
721.0,0.1167
724.2,0.125
727.39,0.1333
730.59,0.1416
733.79,0.1499
736.98,0.1582
740.18,0.1665
743.38,0.1775
746.57,0.1871
749.77,0.1954
752.97,0.1984
756.16,0.2014
759.36,0.2043
762.56,0.2073
765.75,0.2103
768.95,0.2133
772.15,0.2163
775.34,0.2185
778.54,0.2229
781.74,0.2222
784.93,0.2212
788.13,0.222
791.33,0.2231
794.52,0.2241
797.72,0.2251
800.92,0.2261
804.11,0.2271
807.31,0.2281
810.51,0.2292
813.7,0.2302
816.9,0.2312
820.1,0.2322
823.29,0.2332
826.49,0.2342
829.68,0.2352
832.88,0.2363
836.08,0.2373
839.28,0.2383
842.47,0.2393
845.67,0.2343
848.86,0.246
852.06,0.2451
855.26,0.2413
858.46,0.2396
861.65,0.2413
864.85,0.25
868.04,0.2519
871.24,0.2408
874.44,0.2422
877.63,0.2493
880.83,0.2511
884.03,0.2521
887.22,0.2552
890.42,0.2508
893.62,0.2561
896.81,0.2565
900.01,0.2564
903.21,0.2566
906.4,0.2563
909.6,0.2562
912.8,0.2561
915.99,0.2558
919.19,0.2553
922.39,0.2547
925.58,0.2542
928.78,0.2537
931.98,0.2532
935.17,0.2519
938.37,0.2507
941.57,0.2497
944.76,0.249
947.96,0.248
951.16,0.2469
954.35,0.2458
957.55,0.2451
960.75,0.2445
963.94,0.2439
967.14,0.2433
970.1,0.2427
975.54,0.2423
980.98,0.2418
986.42,0.2417
991.86,0.2416
997.3,0.2412
1002.74,0.2432
1008.18,0.2461
1013.62,0.2518
1019.06,0.2582
1024.5,0.2626
1029.95,0.2619
1035.39,0.259
1040.83,0.2596
1046.27,0.2646
1051.71,0.2713
1057.15,0.2795
1062.59,0.2826
1068.03,0.2818
1073.47,0.2749
1078.91,0.2761
1084.35,0.2755
1089.79,0.2695
1095.23,0.2658
1100.67,0.2629
1106.11,0.2594
1111.55,0.2559
1116.99,0.2517
1122.43,0.2469
1127.87,0.2418
1133.32,0.2356
1138.76,0.2275
1144.2,0.2193
1149.64,0.212
1155.08,0.2058
1160.52,0.2002
1165.96,0.1954
1171.4,0.1913
1176.84,0.1875
1182.28,0.1844
1187.72,0.1876
1193.16,0.1909
1198.6,0.2035
1204.04,0.1971
1209.48,0.2011
1214.92,0.201
1220.36,0.2071
1225.8,0.2149
1231.24,0.2178
1236.69,0.2252
1242.13,0.2319
1247.57,0.2357
1253.01,0.2329
1258.45,0.2463
1263.89,0.2539
1269.33,0.2433
1274.77,0.2297
1280.21,0.241
1285.65,0.2388
1291.09,0.2429
1296.53,0.2451
1301.97,0.2428
1307.41,0.2364
1312.85,0.2358
1318.29,0.2156
1323.73,0.2125
1329.17,0.2472
1334.61,0.2338
1340.06,0.2247
1345.5,0.2159
1350.94,0.2043
1356.38,0.1928
1361.82,0.182
1367.26,0.172
1372.7,0.1623
1378.14,0.1501
1383.58,0.1364
1389.02,0.1233
1394.46,0.1109
1399.9,0.0991
1405.34,0.0897
1410.78,0.0812
1416.22,0.0732
1421.66,0.0675
1427.1,0.0624
1432.54,0.0579
1437.98,0.0545
1443.43,0.0512
1448.87,0.0489
1454.31,0.0468
1459.75,0.0447
1465.19,0.0432
1470.63,0.0412
1476.07,0.0386
1481.51,0.0355
1486.95,0.0358
1492.39,0.0361
1497.83,0.0409
1503.27,0.048
1508.71,0.0469
1514.15,0.0549
1519.59,0.058
1525.03,0.0618
1530.47,0.0639
1535.91,0.0683
1541.35,0.0728
1546.8,0.0739
1552.24,0.0778
1557.68,0.0798
1563.12,0.0806
1568.56,0.088
1574.0,0.0861
1579.44,0.0861
1584.88,0.0878
1590.32,0.0907
1595.76,0.092
1601.2,0.0969
1606.64,0.0983
1612.08,0.1013
1617.52,0.0999
1622.96,0.1036
1628.4,0.106
1633.84,0.1083
1639.28,0.1092
1644.72,0.109
1650.17,0.1102
1655.61,0.1105
1661.05,0.1114
1666.49,0.1111
1671.93,0.1103
1677.37,0.111
1682.81,0.1103
1688.25,0.1087
1693.69,0.1049
1699.13,0.1041
1704.57,0.0996
1710.01,0.0993
1715.45,0.098
1720.89,0.0965
1726.33,0.0936
1731.77,0.0925
1737.21,0.0953
1742.65,0.0921
1748.09,0.0919
1753.54,0.0913
1758.98,0.0889
1764.42,0.0869
1769.86,0.0793
1775.3,0.0815
1780.74,0.0761
1786.18,0.074
1791.62,0.072
1797.06,0.0697
1802.5,0.0666
1807.94,0.0548
1813.38,0.0434
1818.82,0.0325
1824.26,0.0219
1829.7,0.0196
1835.14,0.0186
1840.58,0.0176
1846.02,0.0166
1851.46,0.0158
1856.91,0.0152
1862.35,0.0147
1867.79,0.0142
1873.23,0.0137
1878.67,0.0131
1884.11,0.0125
1889.55,0.012
1894.99,0.0114
1900.43,0.0109
1905.87,0.0108
1911.31,0.0106
1916.75,0.0104
1922.19,0.0103
1927.63,0.0104
1933.07,0.0104
1938.51,0.0103
1943.95,0.0103
1949.39,0.0103
1954.83,0.0109
1960.28,0.0114
1965.72,0.0118
1971.16,0.0117
1976.6,0.0115
1982.04,0.0115
1987.48,0.0177
1992.92,0.024
1998.36,0.0228
2003.8,0.0251
2009.24,0.0304
2014.68,0.0316
2020.12,0.0314
2025.56,0.0325
2031.0,0.0324
2036.44,0.0312
2041.88,0.0343
2047.32,0.0298
2052.76,0.0332
2058.2,0.0345
2063.65,0.0338
2069.09,0.0347
2074.53,0.0357
2079.97,0.0347
2085.41,0.0358
2090.85,0.0384
2096.29,0.0374
2101.73,0.0391
2107.17,0.0364
2112.61,0.0377
2118.05,0.042
2123.49,0.0385
2128.93,0.0409
2134.37,0.0433
2139.81,0.0422
2145.25,0.0409
2150.69,0.045
2156.13,0.0461
2161.57,0.0445
2167.02,0.0469
2172.46,0.0435
2177.9,0.0421
2183.34,0.0469
2188.78,0.0465
2194.22,0.0443
2199.66,0.0486
2205.1,0.0487
2210.54,0.05
2215.98,0.049
2221.42,0.0452
2226.86,0.0451
2232.3,0.0431
2237.74,0.0428
2243.18,0.0444
2248.62,0.0418
2254.06,0.0378
2259.5,0.0383
2264.94,0.0375
2270.39,0.0374
2275.83,0.0371
2281.27,0.0362
2286.71,0.036
2292.15,0.0303
2297.59,0.0343
2303.03,0.0336
2308.47,0.0308
2313.91,0.0261
2319.35,0.0331
2324.79,0.0316
2330.23,0.0272
2335.67,0.0267
2341.11,0.0277
2346.55,0.0274
2351.99,0.0258
