wavelength_nm,value
414.13,0.0255
417.32,0.0232
420.52,0.0255
423.72,0.0237
426.91,0.0253
430.11,0.0297
433.31,0.0225
436.5,0.0262
439.7,0.0285
442.9,0.0276
446.09,0.0267
449.29,0.0254
452.49,0.0269
455.68,0.027
458.88,0.0295
462.08,0.0277
465.27,0.0286
468.47,0.0257
471.67,0.0274
474.86,0.0286
478.06,0.0298
481.26,0.0321
484.45,0.0324
487.65,0.0304
490.85,0.0325
494.04,0.0304
497.24,0.0336
500.43,0.0354
503.63,0.034
506.83,0.0351
510.03,0.0379
513.22,0.0397
516.42,0.0438
519.61,0.0451
522.81,0.0473
526.01,0.0522
529.2,0.0551
532.4,0.0599
535.6,0.0626
538.79,0.0663
541.99,0.0685
545.19,0.0654
548.38,0.0707
551.58,0.0686
554.78,0.0705
557.97,0.0709
561.17,0.0687
564.37,0.0674
567.56,0.0658
570.76,0.0656
573.96,0.0628
577.15,0.0618
580.35,0.0586
583.55,0.0572
586.74,0.0584
589.94,0.0578
593.14,0.0552
596.33,0.056
599.53,0.055
602.73,0.0565
605.92,0.0551
609.12,0.0533
612.32,0.0524
615.51,0.0531
618.71,0.0516
621.91,0.0503
625.1,0.0522
628.3,0.0517
631.5,0.0503
634.69,0.05
637.89,0.0514
641.09,0.0509
644.28,0.0502
647.48,0.0508
650.67,0.0465
653.87,0.0469
657.07,0.0482
660.27,0.0437
663.46,0.044
666.66,0.0434
669.85,0.0425
673.05,0.0429
676.25,0.0428
679.45,0.0411
682.64,0.0441
685.84,0.0502
689.03,0.0619
692.23,0.0736
695.43,0.0853
698.62,0.097
701.82,0.1087
705.02,0.1204
708.21,0.1321
711.41,0.1438
714.61,0.1555
717.8,0.1672
721.0,0.1789
724.2,0.1906
727.39,0.2023
730.59,0.2139
733.79,0.2256
736.98,0.2373
740.18,0.249
743.38,0.2609
746.57,0.2766
749.77,0.2804
752.97,0.2845
756.16,0.2886
759.36,0.2927
762.56,0.2968
765.75,0.3009
768.95,0.305
772.15,0.3091
775.34,0.3092
778.54,0.3113
781.74,0.3064
784.93,0.3076
788.13,0.3166
791.33,0.3174
794.52,0.3182
797.72,0.319
800.92,0.3198
804.11,0.3206
807.31,0.3214
810.51,0.3222
813.7,0.323
816.9,0.3238
820.1,0.3246
823.29,0.3255
826.49,0.3263
829.68,0.3271
832.88,0.3279
836.08,0.3287
839.28,0.3295
842.47,0.3303
845.67,0.3325
848.86,0.3398
852.06,0.3342
855.26,0.3312
858.46,0.3184
861.65,0.3303
864.85,0.3504
