wavelength_nm,value
414.13,0.0237
417.32,0.0248
420.52,0.0251
423.72,0.027
426.91,0.0265
430.11,0.0308
433.31,0.0289
436.5,0.0299
439.7,0.0293
442.9,0.0287
446.09,0.0302
449.29,0.0291
452.49,0.0298
455.68,0.0287
458.88,0.0328
462.08,0.031
465.27,0.0319
468.47,0.0313
471.67,0.0305
474.86,0.0339
478.06,0.0348
481.26,0.0369
484.45,0.0358
487.65,0.0363
490.85,0.0352
494.04,0.0345
497.24,0.0373
500.43,0.0405
503.63,0.0379
506.83,0.0395
510.03,0.0414
513.22,0.0451
516.42,0.0473
519.61,0.0475
522.81,0.0506
526.01,0.0557
529.2,0.0564
532.4,0.0588
535.6,0.0619
538.79,0.0651
541.99,0.0652
545.19,0.0671
548.38,0.0682
551.58,0.069
554.78,0.0701
557.97,0.0724
561.17,0.0696
564.37,0.0695
567.56,0.0666
570.76,0.0681
573.96,0.0652
577.15,0.064
580.35,0.0604
583.55,0.0618
586.74,0.0619
589.94,0.0626
593.14,0.0624
596.33,0.0615
599.53,0.0612
602.73,0.0623
605.92,0.0615
609.12,0.0627
612.32,0.0606
615.51,0.0613
618.71,0.058
621.91,0.0604
625.1,0.0606
628.3,0.0609
631.5,0.0608
634.69,0.0607
637.89,0.0597
641.09,0.0619
644.28,0.0613
647.48,0.0605
650.67,0.0582
653.87,0.0575
657.07,0.0572
660.27,0.0542
663.46,0.0562
666.66,0.055
669.85,0.0556
673.05,0.0551
676.25,0.0558
679.45,0.0552
682.64,0.0564
685.84,0.0631
689.03,0.0733
692.23,0.0836
695.43,0.0939
698.62,0.1041
701.82,0.1144
705.02,0.1247
708.21,0.1349
711.41,0.1452
714.61,0.1555
717.8,0.1657
721.0,0.176
724.2,0.1863
727.39,0.1965
730.59,0.2068
733.79,0.2171
736.98,0.2273
740.18,0.2376
743.38,0.25
746.57,0.2556
749.77,0.2657
752.97,0.268
756.16,0.2702
759.36,0.2725
762.56,0.2748
765.75,0.2771
768.95,0.2793
772.15,0.2816
775.34,0.2877
778.54,0.2891
781.74,0.2896
784.93,0.2894
788.13,0.2907
791.33,0.2923
794.52,0.2939
797.72,0.2954
800.92,0.297
804.11,0.2986
807.31,0.3001
810.51,0.3017
813.7,0.3033
816.9,0.3048
820.1,0.3064
823.29,0.308
826.49,0.3095
829.68,0.3111
832.88,0.3127
836.08,0.3142
839.28,0.3158
842.47,0.3174
845.67,0.319
848.86,0.3159
852.06,0.3255
855.26,0.3183
858.46,0.317
861.65,0.3262
864.85,0.3428
868.04,0.3271
871.24,0.3196
874.44,0.3316
877.63,0.3218
880.83,0.3344
884.03,0.337
887.22,0.3384
890.42,0.3327
893.62,0.3524
896.81,0.3525
900.01,0.3516
903.21,0.3507
906.4,0.3497
909.6,0.3488
912.8,0.3478
915.99,0.3468
919.19,0.3458
922.39,0.3447
925.58,0.3437
928.78,0.3426
931.98,0.3415
935.17,0.3398
938.37,0.3382
941.57,0.3367
944.76,0.3354
947.96,0.3341
951.16,0.3328
954.35,0.3314
957.55,0.3302
960.75,0.3289
963.94,0.3275
967.14,0.3261
970.1,0.3247
975.54,0.3234
980.98,0.3214
986.42,0.3194
991.86,0.3174
997.3,0.3158
1002.74,0.317
1008.18,0.3199
1013.62,0.3271
1019.06,0.3353
1024.5,0.3368
1029.95,0.3332
1035.39,0.3316
1040.83,0.3317
1046.27,0.336
1051.71,0.343
1057.15,0.3527
1062.59,0.3549
1068.03,0.3571
1073.47,0.3474
1078.91,0.349
1084.35,0.3477
1089.79,0.345
1095.23,0.343
1100.67,0.3411
1106.11,0.3391
1111.55,0.3371
1116.99,0.3349
1122.43,0.3317
1127.87,0.3275
1133.32,0.3226
1138.76,0.3169
1144.2,0.3112
1149.64,0.3059
1155.08,0.3005
1160.52,0.2954
1165.96,0.2917
1171.4,0.2885
1176.84,0.2854
1182.28,0.2837
1187.72,0.2936
1193.16,0.3035
1198.6,0.3255
1204.04,0.3123
1209.48,0.3218
1214.92,0.3187
1220.36,0.3269
1225.8,0.3347
1231.24,0.3355
1236.69,0.3465
1242.13,0.3526
1247.57,0.3578
1253.01,0.3644
1258.45,0.3745
1263.89,0.3828
1269.33,0.3675
1274.77,0.3478
1280.21,0.3648
1285.65,0.3643
1291.09,0.3707
1296.53,0.3748
1301.97,0.375
1307.41,0.3691
1312.85,0.3682
1318.29,0.3422
1323.73,0.3455
1329.17,0.4064
1334.61,0.3838
1340.06,0.3717
1345.5,0.3597
1350.94,0.3443
1356.38,0.3289
1361.82,0.3136
1367.26,0.2982
1372.7,0.2831
1378.14,0.2649
1383.58,0.2448
1389.02,0.2254
1394.46,0.2069
1399.9,0.1891
1405.34,0.1745
1410.78,0.161
1416.22,0.1481
1421.66,0.1391
1427.1,0.1308
1432.54,0.1233
1437.98,0.1171
1443.43,0.111
1448.87,0.1075
1454.31,0.1048
1459.75,0.1019
1465.19,0.1001
1470.63,0.0976
1476.07,0.0935
1481.51,0.0881
1486.95,0.0936
1492.39,0.0992
1497.83,0.111
1503.27,0.1278
1508.71,0.1253
1514.15,0.1461
1519.59,0.1511
1525.03,0.1635
1530.47,0.1679
1535.91,0.1797
1541.35,0.186
1546.8,0.1908
1552.24,0.1975
1557.68,0.204
1563.12,0.2045
1568.56,0.2201
1574.0,0.2139
1579.44,0.2111
1584.88,0.2167
1590.32,0.2208
1595.76,0.2234
1601.2,0.2339
1606.64,0.2362
1612.08,0.2428
1617.52,0.2362
1622.96,0.2423
1628.4,0.2494
1633.84,0.2502
1639.28,0.2556
1644.72,0.255
1650.17,0.2543
1655.61,0.2573
1661.05,0.2576
1666.49,0.2595
1671.93,0.2576
1677.37,0.2618
1682.81,0.2611
1688.25,0.2574
1693.69,0.2539
1699.13,0.2506
1704.57,0.2495
1710.01,0.2445
1715.45,0.2427
1720.89,0.2424
1726.33,0.2318
1731.77,0.2317
1737.21,0.2371
1742.65,0.2292
1748.09,0.2318
1753.54,0.2302
1758.98,0.2216
1764.42,0.2222
1769.86,0.2016
1775.3,0.2076
1780.74,0.1933
1786.18,0.19
1791.62,0.1863
1797.06,0.1815
1802.5,0.1743
1807.94,0.1436
1813.38,0.1139
1818.82,0.0851
1824.26,0.0572
1829.7,0.0521
1835.14,0.0504
1840.58,0.0489
1846.02,0.0473
1851.46,0.0459
1856.91,0.0449
1862.35,0.0439
1867.79,0.0428
1873.23,0.0418
